conference,url,title,authors,abstract,citations,research_areas
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1774/1910,A New Algorithm for Weighted Partial MaxSAT,"Carlos Ansotegui, Maria Luisa Bonet, Jordi Levy",We present and implement a Weighted Partial MaxSAT solver based on successive calls to a SAT solver. We prove the correctness of our algorithm and compare our solver with other Weighted Partial MaxSAT solvers.,71,"{'Artificial Intelligence': 1, 'Satisfiability': 2, 'Computer Science': 1, 'Logic': 2, 'SAT': 2, 'Automated Deduction': 1, 'Rewriting': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1699/1911,Exploiting Monotonicity in Interval Constraint Propagation,"Ignacio Araya, Gilles Trombettoni, Bertrand Neveu","We propose in this paper a new interval constraint propagation algorithm, called MOnotonic Hull Consistency (Mohc), that exploits monotonicity of functions. The propagation is standard, but the Mohc-Revise procedure, used to filter/contract the variable domains w.r.t. an individual constraint, uses monotonic versions of the classical HC4-Revise and BoxNarrow procedures. Mohc-Revise appears to be the first adaptive revise procedure ever proposed in (interval) constraint programming.  Also, when a function is monotonic w.r.t. every variable, Mohc-Revise is proven to compute the optimal/sharpest box enclosing all the solutions of the corresponding constraint (hull consistency). Very promising experimental results suggest that Mohc has the potential to become an alternative to the state-of-the-art HC4 and Box algorithms.",55,"{'interval methods': 1, 'global optimization': 1, 'combinatorial optimization': 1, 'programmation par contraintes': 1, 'intervalles': 1, 'optimisation globale': 1, 'constraint programming': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1811/1912,A Restriction of Extended Resolution for Clause Learning SAT Solvers,"Gilles Audemard, George Katsirelos, Laurent Simon","Modern complete SAT solvers almost uniformly implement variations of the clause learning framework introduced by Grasp and Chaff. The success of these solvers has been theoretically explained by showing that the clause learning framework is an implementation of a proof system which is as poweful as resolution. However, exponential lower bounds are known for resolution, which suggests that significant advances in SAT solving must come from implementations of more powerful proof systems. We present a clause learning SAT solver that uses extended resolution. It is based on a restriction of the application of the extension rule. This solver outperforms existing solvers on application instances from recent SAT competitions as well as on instances that are provably hard for resolution.",75,"{'Constraints': 1, 'SAT': 2, 'SMT': 1, 'CSP': 1, 'QBF': 1, 'Artificial Intelligence': 2, 'Constraint Satisfaction': 1, 'Boolean Satisfiability': 1, 'Combinatorial Optimization': 1, 'Logic': 1, 'Theorem Proving': 1, 'Diagnostics': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1685/1913,Transmission Network Expansion Planning with Simulation Optimization,"Russell Bent, Alan Berscheid, G. Loren Toole","Within the electric power literature the transmission expansion planning problem (TNEP) refers to the problem of how to upgrade an electric power network to meet future demands. As this problem is a complex, non-linear, and non-convex optimization problem, researchers have traditionally focused on approximate models of power flows. Existing approaches are often tightly coupled to the approximation choice. Until recently, these approximations have produced results that are straight-forward to adapt to the more complex (real) problem. However, the power grid is evolving towards a state where the adaptations are no longer easy (e.g. large amounts of limited control, renewable generation) that necessitates new optimization techniques. In this paper, we propose a local search variation of the powerful Limited Discrepancy Search (LDLS) that encapsulates the complexity of power flows in a black box that may be queried for information about the quality of a proposed expansion. This allows the development of a new optimization algorithm that is independent of the underlying power model.",15,"{'Operations Research': 1, 'Artificial Intelligence': 1, 'Power Systems': 1, 'Modeling and Simulation': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1815/1916,Propagating Conjunctions of AllDifferent Constraints,"Christian Bessiere, George Katsirelos, Nina Narodytska, Claude-Guy Quimper, Toby Walsh","We study propagation algorithms for the conjunction of two AllDifferent constraints. Solutions of an AllDifferent constraint can be seen as perfect matchings on the variable/value bipartite graph. Therefore, we investigate the problem of finding simultaneous bipartite matchings. We present an extension of the famous Hall theorem which characterizes when simultaneous bipartite matchings exists. Unfortunately, finding such matchings is NP-hard in general. However, we prove a surprising result that finding a simultaneous matching on a convex bipartite graph takes just polynomial time. Based on this theoretical result, we provide the first polynomial time bound consistency algorithm for the conjunction of two AllDifferent constraints. We identify a pathological problem on which this propagator is exponentially faster compared to existing propagators. Our experiments show that this new propagator can offer significant benefits over existing methods.",17,"{'Artificial Intelligence': 3, 'Constraint Satisfaction': 1, 'Boolean Satisfiability': 1, 'Combinatorial Optimization': 1, 'Optimization': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1787/1919,Independent Additive Heuristics Reduce Search Multiplicatively,"Teresa Maria Breyer, Richard Korf","This paper analyzes the performance of IDA* using additive heuristics. We show that the reduction in the number of nodes expanded using multiple independent additive heuristics is the product of the reductions achieved by the individual heuristics. First, we formally state and prove this result on unit edge-cost undirected graphs with a uniform branching factor. Then, we empirically verify it on a model of the 4-peg Towers of Hanoi problem. We also run experiments on the multiple sequence alignment problem showing more general applicability to non-unit edge-cost directed graphs. Then, we extend an existing model to predict the performance of IDA* with a single pattern database to independent additive disjoint pattern databases. This is the first analysis of the performance of independent additive heuristics.",3,{'Artificial Intelligence': 1}
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1850/1920,1.6-Bit Pattern Databases,"Teresa Maria Breyer, Richard Korf","We present a new technique to compress pattern databases to provide consistent heuristics without loss of information. We store the heuristic estimate modulo three, requiring only two bits per entry or in a more compact representation, only 1.6 bits. This allows us to store a pattern database with more entries in the same amount of memory as an uncompressed pattern database. These compression techniques are most useful where lossy compression using cliques or their generalization is not possible or where adjacent entries in the pattern database are not highly correlated. We compare both techniques to the best existing compression methods for the Top-Spin puzzle, Rubik's cube, the 4-peg Towers of Hanoi problem, and the 24 puzzle. Under certain conditions, our best implementations for the Top-Spin puzzle and Rubik's cube outperform the respective state of the art solvers by a factor of four.",22,"{'Artificial Intelligence': 14, 'Heuristic Search': 11, 'Games': 3, 'Machine Learning': 2, 'Deep Learning': 2, 'Automated Planning': 2, 'Knowledge discovery': 2, 'data mining': 2, 'computer animation': 2, 'computer games': 2, 'temporal representation and reasoning': 2, 'Combinatorial Optimisation': 1, 'Frequent Itemset Mining': 1, 'Operations Research': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1679/1921,EWLS: A New Local Search for Minimum Vertex Cover,"Shaowei Cai, Kaile Su, Qingliang Chen","A number of algorithms have been proposed for the Minimum Vertex Cover problem. However, they are far from satisfactory, especially on hard instances. In this paper, we introduce Edge Weighting Local Search (EWLS), a new local search algorithm for the Minimum Vertex Cover problem. EWLS is based on the idea of extending a partial vertex cover into a vertex cover. A key point of EWLS is to find a vertex set that provides a tight upper bound on the size of the minimum vertex cover. To this purpose, EWLS employs an iterated local search procedure, using an edge weighting scheme which updates edge weights when stuck in local optima. Moreover, some sophisticated search strategies have been taken to improve the quality of local optima. Experimental results on the broadly used DIMACS benchmark show that EWLS is competitive with the current best heuristic algorithms, and outperforms them on hard instances. Furthermore, on a suite of difficult benchmarks, EWLS delivers the best results and sets a new record on the largest instance.",58,"{'Satisfiability': 1, 'Constraint Solving': 1, 'Combinatorial Optimization': 1, 'Heuristic Search': 1, 'Artificial Intelligence': 2, 'Logic': 1, 'Algorithm': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1735/1922,High-Quality Policies for the Canadian Traveler's Problem,"Patrick Eyerich, Thomas Keller, Malte Helmert","We consider the stochastic variant of the Canadian Traveler's Problem, a path planning problem where adverse weather can cause some roads to be untraversable. The agent does not initially know which roads can be used. However, it knows a probability distribution for the weather, and it can observe the status of roads incident to its location. The objective is to find a policy with low expected travel cost.
We introduce and compare several algorithms for the stochastic CTP. Unlike the optimistic approach most commonly considered in the literature, the new approaches we propose take uncertainty into account explicitly. We show that this property enables them to generate policies of much higher quality than the optimistic one, both theoretically and experimentally.",74,"{'Artificial Intelligence': 2, 'Classical Planning': 1, 'Probabilistic Planning': 1, 'MDPs': 1, 'Reinforcement Learning': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1824/1923,Single-Frontier Bidirectional Search,"Ariel Felner, Carsten Moldenhauer, Nathan Sturtevant, Jonathan Schaeffer","On the surface, bidirectional search (BDS) is an attractive idea with the potential for significant asymptotic reductions in search effort. However, the results in practice often fall far short of expectations. We introduce a new bidirectional search algorithm, Single-Frontier Bidirectional Searc (SFBDS). Unlike traditional BDS which keeps two frontiers, SFBDS uses a single frontier. Each node in the tree can be seen as an independent task of finding the shortest path between the current start and current goal. At a particular node we can decide to search from start to goal or from goal to start, choosing the direction with the highest potential for minimizing the total work done. Theoretical results give insights as to when this approach will work and experimental data validates the algorithm for a broad range of domains.",35,"{'Artificial Intelligence': 15, 'Heuristic Search': 10, 'Games': 3, 'Machine Learning': 2, 'Natural Language Processing': 2, 'Argument Mining': 2, 'AI & Law': 2, 'Robotics': 2, '3D Perception': 1, 'Motion Planning': 1, 'artificial intelligence': 1, 'heuristic search': 1, 'automated planning': 1, 'optimization': 1, 'Automated Planning Heuristic Search Artificial Intelligence': 1, 'Automated Planning': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1829/1924,Fast Local Search Algorithm for Weighted Feedback Arc Set in Tournaments,"Fedor Fomin, Daniel Lokshtanov, Venkatesh Raman, Saket Saurabh","We present a fast local search algorithm that finds an improved solution (if there is any) in the k-exchange neighborhood of the given solutionto an instance of Weighted Feedback Arc Set in Tournaments. More precisely,given an arc weighted tournament T on n vertices and a feedback arc set F (a set of arcs whose deletion from T turns it into a directed acyclic graph), our algorithm decides in time O(2o(k) n log n) if there is a feedback arc set of smaller weight and that differs from F in at most k arcs. To our knowledge this is the first algorithm searching the k-exchange neighborhood of an NP-complete problem that runs in (parameterized) subexponential time. Using this local search algorithm for Weighted Feedback Arc Set in Tournaments, we obtain subexponential time algorithms for a local search variant of Kemeny Ranking — a problem in social choice theory and of One-Sided Cross Minimization — a problem in graph drawing.",29,"{'Parameterized Complexity': 1, 'Graph Algorithms': 2, 'Algorithms': 1, 'Computational Complexity': 1, 'Graph Theory': 1, 'Parameteried Complexity': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1791/1928,Exploiting QBF Duality on a Circuit Representation,"Alexandra Goultiaeva, Fahiem Bacchus","Search based solvers for Quantified Boolean Formulas (QBF) have adapted the SAT solver techniques of unit propagation and clause learning to prune falsifying assignments. The technique of cube learning has been developed to help them prune satisfying assignments. Cubes, however, have not been able to achieve the same degree of effectiveness as clauses. In this paper we demonstrate how a circuit representation for QBF can support the propagation of dual truth values. The dual values support the identical techniques of unit propagation and clause learning, except now it is satisfying assignments rather than falsifying assignments that are pruned. Dual value propagation thus exploits the circuit representation and the duality of QBF formulas so that the same effective SAT techniques can now be used to prune both falsifying and satisfyingly assignments. We show empirically that dual propagation yields significantperformance improvements and advances the state of the art in QBF solving.",42,"{'Artificial Intelligence': 2, 'SAT': 2, 'QBF': 1, 'CSPs': 1, 'MaxSat': 1, 'Discrete Optimization': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1794/1931,Symmetry in Solutions,"Marijn Heule, Toby Walsh","We define the concept of an internal symmetry. This is a symmety within a solution of a constraint satisfaction problem. We compare this to solution symmetry, which is a mapping between different solutions of the same problem. We argue that we may be able to exploit both types of symmetry when finding solutions. We illustrate the potential of exploiting internal symmetries on two benchmark domains: Van der Waerden numbers and graceful graphs. By identifying internal symmetries we are able to extend the state of the art in both cases.",518,"{'Mathematics': 1, 'Quantum Mechanics': 1, 'General and Special Relativity': 1, 'Statistical Mechanics': 1, 'Analysis': 1, 'Partial Differential Equations': 3, 'Geometric Analysis': 2, 'Fluid Dynamics': 2, 'differential equations': 2, 'dynamical systems': 1, 'control theory': 1, 'stability': 1, 'nonlinear analysis': 1, 'difference equations': 1, 'differential inclusions': 1, 'boundary value problerms': 1, 'time scales': 1, 'Nonlinear Analysis': 1, 'Topology': 1, 'Geometry': 1, 'Algebra': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1678/1933,Optimal Rectangle Packing on Non-Square Benchmarks,"Eric Huang, Richard E. Korf","The rectangle packing problem consists of finding an enclosing rectangle of smallest area that can contain a given set of rectangles without overlap. We propose two new benchmarks, one where the orientation of the rectangles is fixed and one where it is free, that include rectangles of various aspect ratios. The new benchmarks avoid certain properties of easy instances, which we identify as instances where rectangles have dimensions in common or where a few rectangles occupy most of the area. Our benchmarks are much more difficult for the previous state-of-the-art solver, requiring orders of magnitude more time, compared to similar-sized instances from a popular benchmark consisting only of squares. On the new benchmarks, we improve upon the previous strategy used to handle dominance conditions, we define a variable order over non-square rectangles that generalizes previous strategies, and we present a way to adjust the sizes of intervals of values for each rectangle's x-coordinates. Using these techniques together, we can solve the new oriented benchmark about 500 times faster, and the new unoriented benchmark about 40 times faster than the previous state-of-the-art.",7,"{'Artificial Intelligence': 2, 'Heuristic Search': 1}"
aaai,https://www.aaai.org/ocs/index.php/AAAI/AAAI10/paper/view/1764/1934,A Novel Transition Based Encoding Scheme for Planning as Satisfiability,"Ruoyun Huang, Yixin Chen, Weixiong Zhang","Planning as satisfiability is a principal approach to planning with many eminent advantages. The existing planning as satisfiability techniques usually use encodings compiled from the STRIPS formalism. We introduce a novel SAT encoding scheme based on the SAS+ formalism. It exploits the structural information in the SAS+ formalism, resulting in more compact SAT instances and reducing the number of clauses by up to 50 fold. Our results show that this encoding scheme improves upon the STRIPS-based encoding, in terms of both time and memory efficiency.",76,"{'Artificial Intelligence': 1, 'deep learning': 1, 'machine learning': 1, 'data mining': 1, 'computational finance': 1, 'AI in healthcare': 1, 'computational biology': 1, 'artificial intelligence': 1}"
