conference,url,title,authors,abstract
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7487090,Exact robot navigation using power diagrams,"Omur Arslan,Daniel E. Koditschek,","We reconsider the problem of reactive navigation in sphere worlds, i.e., the construction of a vector field over a compact, convex Euclidean subset punctured by Euclidean disks, whose flow brings a Euclidean disk robot from all but a zero measure set of initial conditions to a designated point destination, with the guarantee of no collisions along the way. We use power diagrams, generalized Voronoi diagrams with additive weights, to identify the robot's collision free convex neighborhood, and to generate the value of our proposed candidate solution vector field at any free configuration via evaluation of an associated convex optimization problem. We prove that this scheme generates a continuous flow with the specified properties. We also propose its practical extension to the nonholonomically constrained kinematics of the standard differential drive vehicle."
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7487091,Gaussian Process Motion planning,"Mustafa Mukadam,Xinyan Yan,Byron Boots,","Motion planning is a fundamental tool in robotics, used to generate collision-free, smooth, trajectories, while satisfying task-dependent constraints. In this paper, we present a novel approach to motion planning using Gaussian processes. In contrast to most existing trajectory optimization algorithms, which rely on a discrete state parameterization in practice, we represent the continuous-time trajectory as a sample from a Gaussian process (GP) generated by a linear time-varying stochastic differential equation. We then provide a gradient-based optimization technique that optimizes continuous-time trajectories with respect to a cost functional. By exploiting GP interpolation, we develop the Gaussian Process Motion Planner (GPMP), that finds optimal trajectories parameterized by a small number of states. We benchmark our algorithm against recent trajectory optimization algorithms by solving 7-DOF robotic arm planning problems in simulation and validate our approach on a real 7-DOF WAM arm."
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7487092,Topological trajectory clustering with relative persistent homology,"Florian T. Pokorny,Ken Goldberg,Danica Kragic,","Cloud Robotics techniques based on Learning from Demonstrations suggest promising alternatives to manual programming of robots and autonomous vehicles. One challenge is that demonstrated trajectories may vary dramatically: it can be very difficult, if not impossible, for a system to learn control policies unless the trajectories are clustered into meaningful consistent subsets. Metric clustering methods, based on a distance measure, require quadratic time to compute a pairwise distance matrix and do not naturally distinguish topologically distinct trajectories. This paper presents an algorithm for topological clustering based on relative persistent homology, which, for a fixed underlying simplicial representation and discretization of trajectories, requires only linear time in the number of trajectories. The algorithm incorporates global constraints formalized in terms of the topology of sublevel or superlevel sets of a function and can be extended to incorporate probabilistic motion models. In experiments with real automobile and ship GPS trajectories as well as pedestrian trajectories extracted from video, the algorithm clusters trajectories into meaningful consistent subsets and, as we show in an experiment with ship trajectories, results in a faster and more efficient clustering than a metric clustering by Fréchet distance."
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7487113,High-dimensional Winding-Augmented Motion Planning with 2D topological task projections and persistent homology,"Florian T. Pokorny,Danica Kragic,Lydia E. Kavraki,Ken Goldberg,","Recent progress in motion planning has made it possible to determine homotopy inequivalent trajectories between an initial and terminal configuration in a robot configuration space. Current approaches have however either assumed the knowledge of differential one-forms related to a skeletonization of the collision space, or have relied on a simplicial representation of the free space. Both of these approaches are currently however not yet practical for higher dimensional configuration spaces. We propose 2D topological task projections (TTPs): mappings from the configuration space to 2-dimensional spaces where simplicial complex filtrations and persistent homology can identify topological properties of the high-dimensional free configuration space. Our approach only requires the availability of collision free samples to identify winding centers that can be used to determine homotopy inequivalent trajectories. We propose the Winding Augmented RRT and RRT* (WA-RRT/RRT*) algorithms using which homotopy inequivalent trajectories can be found. We evaluate our approach in experiments with configuration spaces of planar linkages with 2-10 degrees of freedom. Results indicate that our approach can reliably identify suitable topological task projections and our proposed WA-RRT and WA-RRT* algorithms were able to identify a collection of homotopy inequivalent trajectories in each considered configuration space dimension."
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7487114,Resource-aware motion planning,"Manfred Kröhnert,Raphael Grimm,Nikolaus Vahrenkamp,Tamim Asfour,","We address the question of how resource-aware concepts can be utilized in motion planning algorithms. Resource-awareness facilitate better resource allocation on global system level, e.g. when a humanoid robot needs to distribute and schedule a wide variety of concurrent algorithms. We present a motion planning approach that employs self-monitoring concepts in order to identify the difficulty of the planning problem. Resources are requested dynamically and adapted based on problem difficulty and current planning progress. We show how dynamic adaptation of resource allocation on algorithmic level can reduce the system workload as compared to static resource allocation while meeting Quality of Service (QoS) measures such as average workload or efficiency. We evaluate our approach both in several synthetic setups with varying difficulty and with the humanoid robot ARMAR-4."
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7487115,An MDP-based approximation method for goal constrained multi-MAV planning under action uncertainty,"Lantao Liu,Nathan Michael,","This paper presents a fast approximate multi-agent decision theoretic planning method extended from the well-known Markov Decision Process (MDP). Our objective is to plan motions for a team of homogeneous micro air vehicles (MAVs) toward a set of goals, such that each MAV at any state at any moment follows an action policy toward a unique goal, while considering action uncertainty. We pursue an efficient formulation by first considering a deterministic abstraction of the stochastic system based on approximate initial paths. These deterministic and decoupled sub-problems are converted to the stochastic domain and improved by individual agents or a subset of agents. The resulting decoupled formulation requires processing of a partial state space and enables online operation given applications with emerging tasks."
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7487116,Learning high-dimensional Mixture Models for fast collision detection in Rapidly-Exploring Random Trees,"Jinwook Huh,Daniel D. Lee,","This paper presents a new approach for fast collision detection in high dimensional configuration spaces for Rapidly-exploring Random Trees (RRT) motion planning. The proposed method is based upon Gaussian Mixture Models (GMM) that are learned using an incremental Expectation Maximization clustering algorithm trained online using exemplars provided by a slow, conventional kinematic-based collision detection routine. The number of collision checks needed can be drastically reduced using a biased random sampling from the learned GMM distribution, and the learned models are continually refined and improved as the RRT planning algorithm proceeds. Our proposed method is demonstrated on several example applications and experimental results show marked improvement in computational efficiency over previous approaches."
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7487117,Burs of free C-space: A novel structure for path planning,"Bakir Lacevic,Dinko Osmankovic,Adnan Ademovic,","This paper presents a new approach to C-space exploration and path planning for robotic manipulators using the structure named bur of free C-space. This structure builds upon the so-called bubble, which is a local volume of free C-space, easily computed using the distance information in the workspace. We show how the same distance information can be used to compute the bur that can reach substantially beyond the boundary of the bubble. It is shown how burs can be used to form a rapidly exploring bur tree (RBT): a space-filling tree that resembles RRT. Such a structure can easily be used within a suitably tailored path planning algorithm. Simulation study shows how the RBT-based algorithm outperforms the classical RRT-based method."
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7487118,Path planning for robotic manipulators using expanded bubbles of free C-space,"Adnan Ademovic,Bakir Lacevic,","This paper presents a novel method for using volumetric information in the C-space for generating collision-free paths for robotic manipulators in the presence of obstacles. The method is based on the RRT paradigm, i.e., incrementally building trees in C-space in order to connect the initial configuration to the final one. Bubbles of free C-space are used within a carefully modified extend procedure to add lengthy edges to the tree. In particular, we propose an expanded version of the bubble, which enables even more efficient exploration. The method is validated and compared to other planning algorithms within a simulation study that includes several types of manipulators and obstacle scenarios."
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=7487119,Reduced complexity multi-scale path-planning on probabilistic maps,"Florian Hauer,Panagiotis Tsiotras,","We present several modifications to the previously proposed MSPP algorithm that can speed-up its execution considerably. The MSPP algorithm leverages a multi-scale representation of the environment in n dimensions encoded in tree structure constructed by recursive dyadic partitioning of the search space. We first present a new method to compute the graph neighbors in order to reduce the complexity of each iteration, from O(|V|2) to O(|V| log |V|). We then show how to delay expensive intermediate computations until we know that new information will be required, hence saving time by not operating on information that is never used during the search. Finally, we present a way to remove the very expensive need to calculate a full multi-scale map with the use of sampling and derive an upper bound on the probability of failure as a function of the number of samples."
