conference,url,title,authors,abstract,citations
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8461262,Automatic Optimized 3D Path Planner for Steerable Catheters with Heuristic Search and Uncertainty Tolerance,"Alberto Favaro,Leonardo Cerri,Stefano Galvan,Ferdinando Rodriguez Y Baena,,","In this paper, an automatic planner for minimally invasive neurosurgery is presented. The solution provides the neurosurgeon with the best path to connect a user-defined entry point with a target in accordance with a specific cost function. The approach guarantees the avoidance of obstacles which can be found along the insertion pathway. The method is tailored to the EDEN2020* programmable bevel-tip needle, a multisegment steerable probe intended to be used to perform drug delivery for the treatment of glioblastomas. A sample-based heuristic search inspired by the BIT* algorithm is used to define the asymptotically-optimal solution in terms of path length, followed by a smoothing phase to meet the required kinematic constraints of the needle. To account for inaccuracies in catheter modeling, which could determine unexpected control errors over the insertion procedure, an uncertainty margin is defined in order to increase the algorithm's safety. The feasibility of the proposed solution was demonstrated by testing the method in simulated neurosurgical scenarios with different degrees of obstacle occupancy and against other sample-based algorithms present in literature: RRT, RRT* and an enhanced version of the RRT-Connect.",10
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8460849,Design and kinematics characterization of a laser-profiled continuum manipulator for the guidance of bronchoscopic instruments,"Ning Liu,Mohamed E. M. K. Abdelaziz,Mali Shen,Guang-Zhong Yang,","Bronchoscopic intervention, as a minimally invasive method for the diagnosis and treatment of lung diseases, has attracted more and more attention in recent years. However, existing endobronchial instruments lack the steerability accessing the peripheral airways with difficult bifurcations. This paper presents a novel wire-driven dexterous manipulator for the guidance of such instruments. Precision laser profiling is used to cut a stainless steel tube into multiple interlocked segments with revolute joints. The outer diameter of the manipulator is 2.20 mm which is small enough to be inserted into the working channels of most commercial bronchoscopes and distal airways, while keeping a large inner lumen with a diameter of 1.44 mm for passing various bronchoscopic instruments. The small bending radius provides enough flexibility to navigate inside the complex bronchial tree. Two kinematic models are proposed to predict the manipulator configuration from the translation of actuation wires. The former model is geometrically derived with the assumption of constant curvature bending and the latter one is statistically driven by capturing the motion trajectories of manipulator joints. A prototype of our low-cost add-on instrument guidance robot for bronchoscopic intervention is presented which can be easily integrated into current clinical routine.",10
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8462694,"Design, Modeling and Control of a 2-DoF Robotic Guidewire","Yash Chitalia,Xuefeng Wang,Jaydev P. Desai,","In most cases of peripheral arterial disease (PAD), the operating surgeon must use a variety of catheters riding on a thin wire known as a `guidewire'. This guidewire must be manually navigated through a tortuous pathway of arteries to arrive at the diseased area. Automation of the guidewire therefore reduces surgeon effort and minimizes the time required for a PAD procedure, but is restricted by the size constraints of a standard guidewire. This work presents the design of a robotically actuated 2 degree-of-freedom (DoF) guidewire tip comprised of joints laser micro-machined into a 0.78 mm (<; 2.4 Fr) Nitinol tube. We present an analysis of the notch joint used as a building block in the robot and a control strategy for this type of a joint. The experimental results show that tendon force is an important observable quantity that can be used as a shape sensing mechanism for this type of a joint in practical control applications.",20
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8461159,A Self-propelled Catheter Capable of Generating Travelling Waves with Steering Function by Mono-Line Drive,"Hideyuki Tsukagoshi,Koichi Terashima,Yujiro Takai,","This paper discusses the design method of a self-propelled catheter with thin diameter of 2.6mm, aimed for moving and steering in the bronchi. As the basic configuration, the proposed catheter is composed of an inner tube and McKibben artificial muscles. It can propel by generating travelling waves by a single supply line driven by pneumatics. Since the inner tube equips with orifices of different size, several McKibben chambers can deform with the time delay. We also propose the method to steer the direction at the branch pipe, whose angle can be adjusted by PWM control of pressuring. Besides, we also introduce the design method of how to deal with the pipes with different diameters. The validity of these proposed methods are verified by the prototype through the experiments in the bronchial model.",8
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8460823,Towards a Modular Suturing Catheter for Minimally Invasive Vascular Surgery,"Estevan H. Murai,Shervanthi Homer-Vanniasinkam,Pierre G. Silveira,,,,","Endovascular aneurysm repair (EVAR) is a minimally invasive approach for abdominal aortic aneurysm (AAA) treatment. Compared to open surgery, the benefits of EVAR include faster recovery and shorter time in hospital as well as no general anesthesia (in most cases). Though EVAR has become a preferred way to treat AAA with an increasing number of procedures, there are persisting complications, e.g. stent graft migration. Suturing the stent graft to the aorta increases the displacement force necessary to move the implant. This paper describes the design of a suturing catheter for EVAR. The suturing device consist of two modules which can be inserted through the femoral arteries into the abdominal aorta where both join using an electro-magnetic connector. The positioning module provides an anchor inside the aorta for the suturing module and new sequential positions for each stitch. Our large-scale prototype is validated inside a phantom vessel made of silicone material. We are able to successfully prove the concept of this novel single-sided suturing catheter for EVAR.",3
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8462695,An Observer-Based Fusion Method Using Multicore Optical Shape Sensors and Ultrasound Images for Magnetically-Actuated Catheters,"Alper Denasi,Fouzia Khan,Klaas Jelmer Boskma,Mert Kaya,Christoph Hennersperger,,,,,","Minimally invasive surgery involves using flexible medical instruments such as endoscopes and catheters. Magnetically actuated catheters can provide improved steering precision over conventional catheters. However, besides the actuation method, an accurate tip position is required for precise control of the medical instruments. In this study, the tip position obtained from transverse 2D ultrasound images and multicore optical shape sensors are combined using a robust sensor fusion algorithm. The tip position is tracked in the ultrasound images using a template-based tracker and a convolutional neural network based tracker, respectively. Experimental results for a rhombus path are presented, where data obtained from both tracking sources are fused using Luenberger and Kalman state estimators. The mean and standard deviation of the Euclidean error for the Luenberger observer is 0.2 ± 0.11 [mm] whereas for the Kalman filter it is 0.18 ± 0.13 [mm], respectively.",13
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8461268,Reflection-Aware Sound Source Localization,"Inkyu An,Myungbae Son,Dinesh Manocha,Sung-Eui Yoon,","We present a novel, reflection-aware method for 3D sound localization in indoor environments. Unlike prior approaches, which are mainly based on continuous sound signals from a stationary source, our formulation is designed to localize the position instantaneously from signals within a single frame. We consider direct sound and indirect sound signals that reach the microphones after reflecting off surfaces such as ceilings or walls. We then generate and trace direct and reflected acoustic paths using inverse acoustic ray tracing and utilize these paths with Monte Carlo localization to estimate a 3D sound source position. We have implemented our method on a robot with a cube-shaped microphone array and tested it against different settings with continuous and intermittent sound signals with a stationary or a mobile source. Across different settings, our approach can localize the sound with an average distance error of 0.8 m tested in a room of 7 m by 7 m area with 3 m height, including a mobile and non-line-of-sight sound source. We also reveal that the modeling of indirect rays increases the localization accuracy by 40% compared to only using direct acoustic rays.",30
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8461267,Deep Neural Networks for Multiple Speaker Detection and Localization,"Weipeng He,Petr Motlicek,Jean-Marc Odobez,","We propose to use neural networks for simultaneous detection and localization of multiple sound sources in human-robot interaction. In contrast to conventional signal processing techniques, neural network-based sound source localization methods require fewer strong assumptions about the environment. Previous neural network-based methods have been focusing on localizing a single sound source, which do not extend to multiple sources in terms of detection and localization. In this paper, we thus propose a likelihood-based encoding of the network output, which naturally allows the detection of an arbitrary number of sources. In addition, we investigate the use of sub-band cross-correlation information as features for better localization in sound mixtures, as well as three different network architectures based on different motivations. Experiments on real data recorded from a robot show that our proposed methods significantly outperform the popular spatial spectrum-based approaches.",112
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8461223,DroneEARS: Robust Acoustic Source Localization with Aerial Drones,"Prasant Misra,A. Anil Kumar,Pragyan Mohapatra,P. Balamuralidhar,","Micro aerial vehicles (MAVs), an emerging class of aerial drones, are fast turning into high value mobile sensing assets. While MAVs have a large sensory gamut at their disposal; vision continues to dominate the external sensing scene, with limited usability in scenarios that offer acoustic clues. Therefore, we endeavor to provision a MAV auditory system (i.e., ears); and as part of this goal, our preliminary aim is to develop a robust acoustic localization system for detecting sound sources in the physical space-of-interest. However, devising this capability is extremely challenging due to strong ego-noise from the MAV propeller units, which is both wideband and non-stationary. It is well known that beamformers with large sensor arrays can overcome high noise levels; but in an attempt to cater to the platform (i.e., space, payload and computation) constraints of a MAV, we propose DroneEARS: a binaural sensing system for geo-locating sound sources. It combines the benefits of sparse (two elements) sensor array design (for meeting the platform constraints), and our proposed mobility-aided beamforming (for overcoming the severe ego-noise and its other complex characteristics) to significantly enhance the received signal-to-noise ratio (SNR). We demonstrate the efficacy of DroneEARS by empirical evaluations, and show that it provides a SNR improvement of 15-18 dB compared to many conventional and widely used techniques. This SNR gain translates to a source localization accuracy of approximately 40 cm within a scan region of 6m × 3m , that is, one order of magnitude better than competing methodologies.",6
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=8461191,Ultra-Wideband Radar for Robust Inspection Drone in Underground Coal Mines,"Fernando Cunha,Kamal Youcef-Toumi,","Coal mines pose a high safety risk for human workers. An autonomous inspection drone would enable a coal mine operation to reduce this risk by minimizing the time spent by workers inside the mine. This inspection drone must be highly robust to the harsh and dangerous environment of an underground coal mine, with high levels of coal dust and humidity that can obstruct many conventional sensing methods. For high functionality, the drone must sense and avoid potential obstacles and as well as inspect and map the mining wall face. The objective of this paper is to present ultra-wideband (UWB) radar as a robust sensing solution to this challenging environment and validate its performance experimentally in the typical coal mine environment, both statically and dynamically.",13
