conference,url,title,authors,abstract
neurips,https://proceedings.neurips.cc/paper/2017/file/0060ef47b12160b9198302ebdb144dcf-Paper.pdf,Real Time Image Saliency for Black Box Classifiers,"Piotr Dabkowski, Yarin Gal",
neurips,https://proceedings.neurips.cc/paper/2017/file/0070d23b06b1486a538c0eaa45dd167a-Paper.pdf,Joint distribution optimal transportation for domain adaptation,"Nicolas Courty, Rémi Flamary, Amaury Habrard, Alain Rakotomamonjy","This paper deals with the unsupervised domain adaptation problem, where one wants to estimate a prediction function
f
f
in a given target domain without any labeled sample by exploiting the knowledge available from a source domain where labels are known. Our work makes the following assumption: there exists a non-linear transformation between the joint feature/label space distributions of the two domain
\ps
\ps
and
\pt
\pt
. We propose a solution of this problem with optimal transport, that allows to recover an estimated target
\pt
f
=
(
X
,
f
(
X
)
)
\pt
by optimizing simultaneously the optimal coupling and
f
f
. We show that our method corresponds to the minimization of a bound on the target error, and provide an efficient algorithmic solution, for which convergence is proved. The versatility of our approach, both in terms of class of hypothesis or loss functions is demonstrated with real world classification and regression problems, for which we reach or surpass state-of-the-art results."
neurips,https://proceedings.neurips.cc/paper/2017/file/00a03ec6533ca7f5c644d198d815329c-Paper.pdf,Learning A Structured Optimal Bipartite Graph for Co-Clustering,"Feiping Nie, Xiaoqian Wang, Cheng Deng, Heng Huang",
neurips,https://proceedings.neurips.cc/paper/2017/file/013a006f03dbc5392effeb8f18fda755-Paper.pdf,Learning to Inpaint for Image Compression,"Mohammad Haris Baig, Vladlen Koltun, Lorenzo Torresani",
neurips,https://proceedings.neurips.cc/paper/2017/file/01894d6f048493d2cacde3c579c315a3-Paper.pdf,Inverse Filtering for Hidden Markov Models,"Robert Mattila, Cristian Rojas, Vikram Krishnamurthy, Bo Wahlberg",
neurips,https://proceedings.neurips.cc/paper/2017/file/018dd1e07a2de4a08e6612341bf2323e-Paper.pdf,On clustering network-valued data,"Soumendu Sundar Mukherjee, Purnamrita Sarkar, Lizhen Lin",
neurips,https://proceedings.neurips.cc/paper/2017/file/019d385eb67632a7e958e23f24bd07d7-Paper.pdf,Langevin Dynamics with Continuous Tempering for Training Deep Neural Networks,"Nanyang Ye, Zhanxing Zhu, Rafal Mantiuk",
neurips,https://proceedings.neurips.cc/paper/2017/file/01a0683665f38d8e5e567b3b15ca98bf-Paper.pdf,Beyond Worst-case: A Probabilistic Analysis of Affine Policies in Dynamic Optimization,"Omar El Housni, Vineet Goyal","Affine policies (or control) are widely used as a solution approach in dynamic optimization where computing an optimal adjustable solution is usually intractable. While the worst case performance of affine policies can be significantly bad, the empirical performance is observed to be near-optimal for a large class of problem instances. For instance, in the two-stage dynamic robust optimization problem with linear covering constraints and uncertain right hand side, the worst-case approximation bound for affine policies is
O
(
√
m
)
O
that is also tight (see Bertsimas and Goyal (2012)), whereas observed empirical performance is near-optimal. In this paper, we aim to address this stark-contrast between the worst-case and the empirical performance of affine policies. In particular, we show that affine policies give a good approximation for the two-stage adjustable robust optimization problem with high probability on random instances where the constraint coefficients are generated i.i.d. from a large class of distributions; thereby, providing a theoretical justification of the observed empirical performance. On the other hand, we also present a distribution such that the performance bound for affine policies on instances generated according to that distribution is
Ω
(
√
m
)
Ω
with high probability; however, the constraint coefficients are not i.i.d.. This demonstrates that the empirical performance of affine policies can depend on the generative model for instances."
neurips,https://proceedings.neurips.cc/paper/2017/file/01e9565cecc4e989123f9620c1d09c09-Paper.pdf,Few-Shot Learning Through an Information Retrieval Lens,"Eleni Triantafillou, Richard Zemel, Raquel Urtasun",
neurips,https://proceedings.neurips.cc/paper/2017/file/024d7f84fff11dd7e8d9c510137a2381-Paper.pdf,Accelerated consensus via Min-Sum Splitting,"Patrick Rebeschini, Sekhar C. Tatikonda",
neurips,https://proceedings.neurips.cc/paper/2017/file/028ee724157b05d04e7bdcf237d12e60-Paper.pdf,Saliency-based Sequential Image Attention with Multiset Prediction,"Sean Welleck, Jialin Mao, Kyunghyun Cho, Zheng Zhang",
neurips,https://proceedings.neurips.cc/paper/2017/file/02a32ad2669e6fe298e607fe7cc0e1a0-Paper.pdf,Adaptive Bayesian Sampling with Monte Carlo EM,"Anirban Roychowdhury, Srinivasan Parthasarathy",
neurips,https://proceedings.neurips.cc/paper/2017/file/02b1be0d48924c327124732726097157-Paper.pdf,Scalable Levy Process Priors for Spectral Kernel Learning,"Phillip A. Jang, Andrew Loeb, Matthew Davidow, Andrew G. Wilson",
neurips,https://proceedings.neurips.cc/paper/2017/file/02f039058bd48307e6f653a2005c9dd2-Paper.pdf,Model-Powered Conditional Independence Test,"Rajat Sen, Ananda Theertha Suresh, Karthikeyan Shanmugam, Alexandros G. Dimakis, Sanjay Shakkottai","We consider the problem of non-parametric Conditional Independence testing (CI testing) for continuous random variables. Given i.i.d samples from the joint distribution
f
(
x
,
y
,
z
)
f
of continuous random vectors
X
,
Y
X
and
Z
,
Z
we determine whether
X
\independent
Y
|
Z
X
. We approach this by converting the conditional independence test into a classification problem. This allows us to harness very powerful classifiers like gradient-boosted trees and deep neural networks. These models can handle complex probability distributions and allow us to perform significantly better compared to the prior state of the art, for high-dimensional CI testing. The main technical challenge in the classification problem is the need for samples from the conditional product distribution
f
C
I
(
x
,
y
,
z
)
=
f
(
x
|
z
)
f
(
y
|
z
)
f
(
z
)
f
-- the joint distribution if and only if
X
\independent
Y
|
Z
.
X
-- when given access only to i.i.d. samples from the true joint distribution
f
(
x
,
y
,
z
)
f
. To tackle this problem we propose a novel nearest neighbor bootstrap procedure and theoretically show that our generated samples are indeed close to
f
C
I
f
in terms of total variational distance. We then develop theoretical results regarding the generalization bounds for classification for our problem, which translate into error bounds for CI testing. We provide a novel analysis of Rademacher type classification bounds in the presence of non-i.i.d \textit{near-independent} samples. We empirically validate the performance of our algorithm on simulated and real datasets and show performance gains over previous methods."
neurips,https://proceedings.neurips.cc/paper/2017/file/03e0704b5690a2dee1861dc3ad3316c9-Paper.pdf,Learning Multiple Tasks with Multilinear Relationship Networks,"Mingsheng Long, ZHANGJIE CAO, Jianmin Wang, Philip S. Yu",
neurips,https://proceedings.neurips.cc/paper/2017/file/03e7ef47cee6fa4ae7567394b99912b7-Paper.pdf,Query Complexity of Clustering with Side Information,"Arya Mazumdar, Barna Saha","Suppose, we are given a set of
n
n
elements to be clustered into
k
k
(unknown) clusters, and an oracle/expert labeler that can interactively answer pair-wise queries of the form,
do two elements
u
u
and
v
v
belong to the same cluster?''. The goal is to recover the optimum clustering by asking the minimum number of queries. In this paper, we provide a rigorous theoretical study of this basic problem of query complexity of interactive clustering, and give strong information theoretic lower bounds, as well as nearly matching upper bounds. Most clustering problems come with a similarity matrix, which is used by an automated process to cluster similar points together. To improve accuracy of clustering, a fruitful approach in recent years has been to ask a domain expert or crowd to obtain labeled data interactively. Many heuristics have been proposed, and all of these use a similarity function to come up with a querying strategy. Even so, there is a lack systematic theoretical study. Our main contribution in this paper is to show the dramatic power of side information aka similarity matrix on reducing the query complexity of clustering. A similarity matrix represents noisy pair-wise relationships such as one computed by some function on attributes of the elements. A natural noisy model is where similarity values are drawn independently from some arbitrary probability distribution
f
+
f
when the underlying pair of elements belong to the same cluster, and from some
f
−
f
otherwise. We show that given such a similarity matrix, the query complexity reduces drastically from
Θ
(
n
k
)
Θ
(no similarity matrix) to
O
(
k
2
log
n
\cH
2
(
f
+
∥
f
−
)
)
O
where
\cH
2
\cH
denotes the squared Hellinger divergence. Moreover, this is also information-theoretic optimal within an
O
(
log
n
)
O
factor. Our algorithms are all efficient, and parameter free, i.e., they work without any knowledge of
k
,
f
+
k
and
f
−
f
, and only depend logarithmically with
n
n
."
neurips,https://proceedings.neurips.cc/paper/2017/file/04048aeca2c0f5d84639358008ed2ae7-Paper.pdf,Non-parametric Structured Output Networks,"Andreas Lehrmann, Leonid Sigal",
