conference,url,title,authors,abstract,citations
acl,https://aclanthology.org/P16-1001.pdf,Noise reduction and targeted exploration in imitation learning for Abstract Meaning Representation parsing,"James Goodman,Andreas Vlachos,Jason Naradowsky",None,39
acl,https://aclanthology.org/P16-1002.pdf,Data Recombination for Neural Semantic Parsing,"Robin Jia,Percy Liang",None,387
acl,https://aclanthology.org/P16-1003.pdf,Inferring Logical Forms From Denotations,"Panupong Pasupat,Percy Liang",None,53
acl,https://aclanthology.org/P16-1004.pdf,Language to Logical Form with Neural Attention,"Li Dong,Mirella Lapata",None,582
acl,https://aclanthology.org/P16-1005.pdf,Unsupervised Person Slot Filling based on Graph Mining,"Dian Yu,Heng Ji",None,22
acl,https://aclanthology.org/P16-1006.pdf,A Multi-media Approach to Cross-lingual Entity Knowledge Transfer,"Di Lu,Xiaoman Pan,Nima Pourdamghani,Shih-Fu Chang,Heng Ji,Kevin Knight",None,10
acl,https://aclanthology.org/P16-1007.pdf,Models and Inference for Prefix-Constrained Machine Translation,"Joern Wuebker,Spence Green,John DeNero,Saša Hasan,Minh-Thang Luong",None,53
acl,https://aclanthology.org/P16-1008.pdf,Modeling Coverage for Neural Machine Translation,"Zhaopeng Tu,Zhengdong Lu,Yang Liu,Xiaohua Liu,Hang Li",None,745
acl,https://aclanthology.org/P16-1009.pdf,Improving Neural Machine Translation Models with Monolingual Data,"Rico Sennrich,Barry Haddow,Alexandra Birch",None,1715
acl,https://aclanthology.org/P16-1010.pdf,Graph-Based Translation Via Graph Segmentation,"Liangyou Li,Andy Way,Qun Liu",None,6
acl,https://aclanthology.org/P16-1011.pdf,Incremental Acquisition of Verb Hypothesis Space towards Physical World Interaction,"Lanbo She,Joyce Chai",None,21
acl,https://aclanthology.org/P16-1012.pdf,Language Transfer Learning for Supervised Lexical Substitution,"Gerold Hintz,Chris Biemann",None,14
acl,https://aclanthology.org/P16-1013.pdf,Learning the Curriculum with Bayesian Optimization for Task-Specific Word Representation Learning,"Yulia Tsvetkov,Manaal Faruqui,Wang Ling,Brian MacWhinney,Chris Dyer",None,67
acl,https://aclanthology.org/P16-1014.pdf,Pointing the Unknown Words,"Caglar Gulcehre,Sungjin Ahn,Ramesh Nallapati,Bowen Zhou,Yoshua Bengio",None,534
acl,https://aclanthology.org/P16-1015.pdf,Generalized Transition-based Dependency Parsing via Control Parameters,"Bernd Bohnet,Ryan McDonald,Emily Pitler,Ji Ma",None,9
acl,https://aclanthology.org/P16-1016.pdf,A Transition-Based System for Joint Lexical and Syntactic Analysis,"Matthieu Constant,Joakim Nivre",None,58
acl,https://aclanthology.org/P16-1017.pdf,Neural Greedy Constituent Parsing with Dynamic Oracles,"Maximin Coavoux,Benoît Crabbé",None,25
acl,https://aclanthology.org/P16-1018.pdf,Literal and Metaphorical Senses in Compositional Distributional Semantic Models,"E. Dario Gutiérrez,Ekaterina Shutova,Tyler Marghetis,Benjamin Bergen",None,62
acl,https://aclanthology.org/P16-1019.pdf,Idiom Token Classification using Sentential Distributed Semantics,"Giancarlo Salton,Robert Ross,John Kelleher",None,35
