conference,url,title,authors,abstract
emnlp,https://aclanthology.org/D10-1001.pdf,On Dual Decomposition and Linear Programming Relaxations for Natural Language Processing,"Alexander M. Rush,David Sontag,Michael Collins,Tommi Jaakkola",None
emnlp,https://aclanthology.org/D10-1002.pdf,Self-Training with Products of Latent Variable Grammars,"Zhongqiang Huang,Mary Harper,Slav Petrov",None
emnlp,https://aclanthology.org/D10-1003.pdf,Utilizing Extra-Sentential Context for Parsing,"Jackie Chi Kit Cheung,Gerald Penn",None
emnlp,https://aclanthology.org/D10-1004.pdf,Turbo Parsers: Dependency Parsing by Approximate Variational Inference,"André Martins,Noah Smith,Eric Xing,Pedro Aguiar,Mário Figueiredo",None
emnlp,https://aclanthology.org/D10-1005.pdf,Holistic Sentiment Analysis Across Languages: Multilingual Supervised Latent Dirichlet Allocation,"Jordan Boyd-Graber,Philip Resnik",None
emnlp,https://aclanthology.org/D10-1006.pdf,Jointly Modeling Aspects and Opinions with a MaxEnt-LDA Hybrid,"Xin Zhao,Jing Jiang,Hongfei Yan,Xiaoming Li",None
emnlp,https://aclanthology.org/D10-1007.pdf,Summarizing Contrastive Viewpoints in Opinionated Text,"Michael Paul,ChengXiang Zhai,Roxana Girju",None
emnlp,https://aclanthology.org/D10-1008.pdf,Automatically Producing Plot Unit Representations for Narrative Text,"Amit Goyal,Ellen Riloff,Hal Daumé III",None
emnlp,https://aclanthology.org/D10-1009.pdf,Handling Noisy Queries in Cross Language FAQ Retrieval,"Danish Contractor,Govind Kothari,Tanveer Faruquie,L. V. Subramaniam,Sumit Negi",None
emnlp,https://aclanthology.org/D10-1010.pdf,Learning the Relative Usefulness of Questions in Community QA,"Razvan Bunescu,Yunfeng Huang",None
emnlp,https://aclanthology.org/D10-1011.pdf,Positional Language Models for Clinical Information Retrieval,"Florian Boudin,Jian-Yun Nie,Martin Dawes",None
emnlp,https://aclanthology.org/D10-1012.pdf,Inducing Word Senses to Improve Web Search Result Clustering,"Roberto Navigli,Giuseppe Crisafulli",None
emnlp,https://aclanthology.org/D10-1013.pdf,Improving Translation via Targeted Paraphrasing,"Philip Resnik,Olivia Buzek,Chang Hu,Yakov Kronrod,Alex Quinn,Benjamin B. Bederson",None
emnlp,https://aclanthology.org/D10-1014.pdf,Soft Syntactic Constraints for Hierarchical Phrase-Based Translation Using Latent Syntactic Distributions,"Zhongqiang Huang,Martin Čmejrek,Bowen Zhou",None
emnlp,https://aclanthology.org/D10-1015.pdf,A Hybrid Morpheme-Word Representation for Machine Translation of Morphologically Rich Languages,"Minh-Thang Luong,Preslav Nakov,Min-Yen Kan",None
emnlp,https://aclanthology.org/D10-1016.pdf,“Poetic” Statistical Machine Translation: Rhyme and Meter,"Dmitriy Genzel,Jakob Uszkoreit,Franz Och",None
emnlp,https://aclanthology.org/D10-1017.pdf,Efficient Graph-Based Semi-Supervised Learning of Structured Tagging Models,"Amarnag Subramanya,Slav Petrov,Fernando Pereira",None
emnlp,https://aclanthology.org/D10-1018.pdf,Better Punctuation Prediction with Dynamic Conditional Random Fields,"Wei Lu,Hwee Tou Ng",None
emnlp,https://aclanthology.org/D10-1019.pdf,Joint Training and Decoding Using Virtual Nodes for Cascaded Segmentation and Tagging Tasks,"Xian Qian,Qi Zhang,Yaqian Zhou,Xuanjing Huang,Lide Wu",None
emnlp,https://aclanthology.org/D10-1020.pdf,"Crouching Dirichlet, Hidden Markov Model: Unsupervised POS Tagging with Context Local Tag Generation","Taesun Moon,Katrin Erk,Jason Baldridge",None
emnlp,https://aclanthology.org/D10-1021.pdf,Improving Gender Classification of Blog Authors,"Arjun Mukherjee,Bing Liu",None
emnlp,https://aclanthology.org/D10-1022.pdf,Negative Training Data Can be Harmful to Text Classification,"Xiao-Li Li,Bing Liu,See-Kiong Ng",None
emnlp,https://aclanthology.org/D10-1023.pdf,Modeling Organization in Student Essays,"Isaac Persing,Alan Davis,Vincent Ng",None
emnlp,https://aclanthology.org/D10-1024.pdf,Evaluating Models of Latent Document Semantics in the Presence of OCR Errors,"Daniel Walker,William B. Lund,Eric K. Ringger",None
emnlp,https://aclanthology.org/D10-1025.pdf,Translingual Document Representations from Discriminative Projections,"John Platt,Kristina Toutanova,Wen-tau Yih",None
emnlp,https://aclanthology.org/D10-1026.pdf,Storing the Web in Memory: Space Efficient Language Models with Constant Time Retrieval,"David Guthrie,Mark Hepple",None
emnlp,https://aclanthology.org/D10-1027.pdf,Efficient Incremental Decoding for Tree-to-String Translation,"Liang Huang,Haitao Mi",None
emnlp,https://aclanthology.org/D10-1028.pdf,Modeling Perspective Using Adaptor Grammars,"Eric Hardisty,Jordan Boyd-Graber,Philip Resnik",None
emnlp,https://aclanthology.org/D10-1029.pdf,Predicting the Semantic Compositionality of Prefix Verbs,"Shane Bergsma,Aditya Bhargava,Hua He,Grzegorz Kondrak",None
emnlp,https://aclanthology.org/D10-1030.pdf,Joint Inference for Bilingual Semantic Role Labeling,"Tao Zhuang,Chengqing Zong",None
emnlp,https://aclanthology.org/D10-1031.pdf,Automatic Discovery of Manner Relations and its Applications,"Eduardo Blanco,Dan Moldovan",None
emnlp,https://aclanthology.org/D10-1032.pdf,Tense Sense Disambiguation: A New Syntactic Polysemy Task,"Roi Reichart,Ari Rappoport",None
emnlp,https://aclanthology.org/D10-1033.pdf,Improving Mention Detection Robustness to Noisy Input,"Radu Florian,John Pitrelli,Salim Roukos,Imed Zitouni",None
emnlp,https://aclanthology.org/D10-1034.pdf,Clustering-Based Stratified Seed Sampling for Semi-Supervised Relation Classification,"Longhua Qian,Guodong Zhou",None
emnlp,https://aclanthology.org/D10-1035.pdf,Unsupervised Discovery of Negative Categories in Lexicon Bootstrapping,Tara McIntosh,None
emnlp,https://aclanthology.org/D10-1036.pdf,Automatic Keyphrase Extraction via Topic Decomposition,"Zhiyuan Liu,Wenyi Huang,Yabin Zheng,Maosong Sun",None
emnlp,https://aclanthology.org/D10-1037.pdf,Incorporating Content Structure into Text Analysis Applications,"Christina Sauper,Aria Haghighi,Regina Barzilay",None
emnlp,https://aclanthology.org/D10-1038.pdf,Exploiting Conversation Structure in Unsupervised Topic Segmentation for Emails,"Shafiq Joty,Giuseppe Carenini,Gabriel Murray,Raymond T. Ng",None
emnlp,https://aclanthology.org/D10-1039.pdf,A Semi-Supervised Approach to Improve Classification of Infrequent Discourse Relations Using Feature Vector Extension,"Hugo Hernault,Danushka Bollegala,Mitsuru Ishizuka",None
emnlp,https://aclanthology.org/D10-1040.pdf,A Game-Theoretic Approach to Generating Spatial Descriptions,"Dave Golland,Percy Liang,Dan Klein",None
emnlp,https://aclanthology.org/D10-1041.pdf,Facilitating Translation Using Source Language Paraphrase Lattices,"Jinhua Du,Jie Jiang,Andy Way",None
