conference,url,title,authors,abstract,citations
icra,None,A structure preserving nondimensionalization of hydraulic rotational joints,"Satoru Sakai,","This paper proposes a non-dimensional representation for hydraulic arms whose original representation is complex in terms of the nonlinear dynamics and many physical parameters. Unlike the usual nondimensional representations, the proposed nondimensional representation preserves a parametric structure in the original representation. Without loss of generality, only by changing the damping constant, the rod area, the source pressure, and the cylinder allocation, and also assuming that all the other parameters are unit, any numerical property such as the numerical existence is investigated efficiently.",5
icra,None,Mechanical design of a compact Serial Variable Stiffness Actuator (SVSA) based on lever mechanism,"Jiantao Sun,Yubing Zhang,Cong Zhang,Zhao Guo,Xiaohui Xiao,","Compliant actuator is widely accepted for physical human-robot interaction due to its safety aspect, dynamic performance improvements and energy saving abilities. In this paper, based on the variable ratio lever mechanism, a new kind of Serial Variable Stiffness Actuator (SVSA) is proposed by using an Archimedean Spiral Relocation Mechanism (ASRM) to change the position of the pivot, implementing large range of adjustable stiffness. The ASRM introduced here makes the SVSA design has continuous stiffness adjustment ability and simply mechanical structure. Within the Variable Stiffness Mechanism (VSM), two linear springs are assembled antagonistically on a spring shaft. Their displacements are perpendicular to the output link to transmit the spring force more efficiently. Stiffness modeling and analysis of the SVSA are carried out to cover large deflection angle. The physical implementation of the SVSA shows that the output stiffness of the VSM is changed from 1.72 to 150.56 Nm/rad using a linear spring with stiffness 1882 N/m, working range covered from 0 to 360°. Control experiments also proved the wide range of stiffness adjustment ability of the SVSA.",25
icra,None,"Toward compliant, fast, high-precision, and low-cost manipulator with hydraulic hybrid servo booster","Sang-Ho Hyon,Sumihito Tanimoto,Shota Asao,","We propose a novel hydraulic hybrid servo drive for robotic applications. This method embeds a small servo-controlled pump into a hydraulic metering circuit. The circuit is compactly integrated into a servo-unit, then replicated for each joint, and connected to one common low-pressure line. Thanks to the boosting effect, one can simultaneously achieve high-load and high-precision servo control performance with low-cost components. The paper describes the principle of the new circuit and two realizations: one for a slider testbed with a single-rod cylinder, the other for a three-joint manipulator prototype. The slider experiments show that the proposed circuit can not only achieve the high piston velocity, but also exclusively generate large piston force with a small positional error up to the resolution of the servo-pump. Moreover, experiments on the manipulator demonstrate that the robot can compliantly respond to external perturbations, thanks to the high backdrivability of the servo-pump.",9
icra,None,Design of a structure-controlled variable stiffness actuator based on rotary flexure hinges,"Xiong Li,Wenjie Chen,Wei Lin,","This paper presents a new variable stiffness actuator (VSA) based on a structure-controlled method: controlling the mechanical structure of the actuator by rotating four flexure hinges. The VSA possesses a property that the output position and stiffness are independently controlled. This is realized by a serial arrangement of a principle driving motor, a small stiffness variation motor and a novel variable stiffness mechanism (VSM). The VSM consists of four combined notch flexure hinge frames, each of which contains an inner rotary flexure shaft and outer stationary hinge housing. The stiffness is adjusted by rotating the inner flexure shaft to change the second moment of area. Its value is independent to the VSA output angle when the flexure rotational angle is fixed. The working principle of this VSA is elaborated and the optimization mechanical design of the VSM is presented. A prototype has been implemented and its primary characteristic test results validate the design features.",7
icra,None,Intrinsically backdrivable hydraulic servovalve for interactive robot control,"Sunkyum Yoo,Woongyong Lee,Wan Kyun Chung,","There has been consistent trials to make a hydraulic actuator to be effective in interactive robot applications that require high power and durability. However, conventional strategies to obtain this goal, such as force/torque servo control or adding elastic components, suffer from complexity, sensor problems, and reduced system robustness. In this paper, we show that introducing backdrivability to hydraulic system may be an ultimate solution to constructing interactive hydraulic robot systems, by analyzing the advantages of backdrivability for this application. Moreover, we show that the backdrivability of valve-controlled hydraulic system can be achieved by adding a load pressure feedback mechanism on the spool of the servovalve, using the similarity of its dynamics structure to that of a flexible joint robot. Finally, we show that the derived backdrivable servovalve dynamics is actually the dynamics of the pressure control valve, and we report experiments that verify the analyzed advantages of backdrivability.",8
icra,None,A reconfigurable hybrid actuator with rigid and soft components,"Yaohui Chen,Sing Le,Qiao Chu Tan,Oscar Lau,Fang Wan,Chaoyang Song,","Classical rigid-bodied robotic systems are presented with proven success in theoretical development and industrial applications, are recently challenged by the emergence of soft robotics due to a growing need in physical human-robot interactions (pHRI), such as wearable devices, medical robots, personal robots, etc. In this paper, we present the design and fabrication of a robust, hybrid bending actuator build from both rigid and soft components inspired by crustaceans, where its bending radius and axis can be mechanically programmed through the selective activation of the rigid exterior joints, actuated by the soft actuators inside. The hybrid actuator was experimentally measured in terms of bending and force tests to demonstrate the utility of this design. Finally, a case study was presented to demonstrate its capacity to adapt to specific objects geometry, anticipating its potential application in situations where compliance is the priority.",16
icra,None,Scalable pneumatic and tendon driven robotic joint inspired by jumping spiders,"Alexander Spröwitz,Chantal Göttler,Ayush Sinha,Corentin Caer,,,,","Fluidic actuators allow versatile, agile, and powerful motions and are commonly applied in robotics and automation. Likewise, many biological systems use fluidic actuators implemented with tissue for a wealth of tasks and performances. Spiders for example apply a hybrid mechanism of hydraulically actuated joint extension and muscle-based joint flexion to produce movement in two of their seven leg joints. Here, we present a novel spider-inspired joint mechanism employing both pneumatics and electrically-actuated tendons capable of strong, dynamic, and rapid joint movement. The implementation of the joint is closely inspired by those seen in real spiders, with a foldable structured membrane that effectively transfers all the energy from pressure to torque as the leg unfolds. To evaluate the mechanism we derived static joint models and a simple jumping model, and conducted equivalent experimental tests with a prototype of a single jumping leg robot. Besides applications in robot locomotion, the implementation and modeling of the spider-inspired joint mechanism can be utilized to further explore dynamics and functional biomechanics in spiders. In the future, we hope to use this platform to answer questions related to the impressive jumping and locomotion performances of real arachnids, and explore what morphological traits lie behind efficient spider locomotion at different size scales.",15
icra,None,Position-based PD control design for hydraulic robots using passive subsystems in multi-time scales,"Woongyong Lee,Wan Kyun Chung,","A position-based proportional-derivative (PD) controller with inner torque feedback loops can be used as a simple controller to render compliant behaviors to hydraulic robots. However, using this control framework involves a tradeoff between the stability and performance of the closed-loop system (which includes the external environment) because the joint position sensors and control units (i.e., electrohydraulic servovalves) used in the control are separated (non-collocated) from the robot by their joint flexibility. To effectively overcome this limitation, this paper proposes a joint position-based PD control strategy for constructing an inherently stable and compliant hydraulic robot system. To this end, we use virtual internal leakage to separate the system by frequency into subsystems that include control units (i.e., servovalve), flexible joints, and robot manipulator, respectively. This architecture allows the hydraulic robot to behave as a passive system within its operating frequency region under the guidance of controllers designed to guarantee the stability of the passive subsystems within the respective frequency regions. The proposed approach was verified experimentally.",2
icra,None,Fast second-order cone programming for safe mission planning,"Kai Zhong,Prateek Jain,Ashish Kapoor,","This paper considers the problem of safe mission planning of dynamic systems operating under uncertain environments. Much of the prior work on achieving robust and safe control requires solving second-order cone programs (SOCP). Unfortunately, existing general purpose SOCP methods are often infeasible for real-time robotic tasks due to high memory and computational requirements imposed by existing general optimization methods. The key contribution of this paper is a fast and memory-efficient algorithm for SOCP that would enable robust and safe mission planning on-board robots in realtime. Our algorithm does not have any external dependency, can efficiently utilize warm start provided in safe planning settings, and in fact leads to significant speed up over standard optimization packages (like SDPT3) for even standard SOCP problems. For example, for a standard quadrotor problem, our method leads to speedup of 1000× over SDPT3 without any deterioration in the solution quality. Our method is based on two insights: a) SOCPs can be interpreted as optimizing a function over a polytope with infinite sides, b) a linear function can be efficiently optimized over this polytope. We combine the above observations with a novel utilization of Wolfe's algorithm [1] to obtain an efficient optimization method that can be easily implemented on small embedded devices. In addition to the above mentioned algorithm, we also design a two-level sensing method based on Gaussian Process for complex obstacles with non-linear boundaries such as a cylinder.",7
icra,None,Exact and efficient Hamilton-Jacobi guaranteed safety analysis via system decomposition,"Mo Chen,Sylvia Herbert,Claire J. Tomlin,","Hamilton-Jacobi (HJ) reachability is a method that provides rigorous analyses of the safety properties of dynamical systems. These guarantees can be provided by the computation of a backward reachable set (BRS), which represents the set of states from which the system may be driven into violating safety properties despite the system's best effort to remain safe. Unfortunately, the complexity of the BRS computation scales exponentially with the number of state dimensions. Although numerous approximation techniques are able to tractably provide conservative estimates of the BRS, they often require restrictive assumptions about system dynamics without providing an exact solution. In this paper we propose a general method for decomposing dynamical systems. Even when the resulting subsystems are coupled, relatively high-dimensional BRSs that were previously intractable or expensive to compute can now be quickly and exactly computed in lower-dimensional subspaces. As a result, the curse of dimensionality is alleviated to a large degree without sacrificing optimality. We demonstrate our theoretical results through a 3D Dubins Car model and a 6D Acrobatic Quadrotor model.",37
