conference,url,title,authors,abstract
acl,https://aclanthology.org/P10-1001.pdf,Efficient Third-Order Dependency Parsers,"Terry Koo,Michael Collins",None
acl,https://aclanthology.org/P10-1002.pdf,Dependency Parsing and Projection Based on Word-Pair Classification,"Wenbin Jiang,Qun Liu",None
acl,https://aclanthology.org/P10-1003.pdf,Bitext Dependency Parsing with Bilingual Subtree Constraints,"Wenliang Chen,Jun’ichi Kazama,Kentaro Torisawa",None
acl,https://aclanthology.org/P10-1004.pdf,Computing Weakest Readings,"Alexander Koller,Stefan Thater",None
acl,https://aclanthology.org/P10-1005.pdf,Identifying Generic Noun Phrases,"Nils Reiter,Anette Frank",None
acl,https://aclanthology.org/P10-1006.pdf,Structural Semantic Relatedness: A Knowledge-Based Method to Named Entity Disambiguation,"Xianpei Han,Jun Zhao",None
acl,https://aclanthology.org/P10-1007.pdf,Correcting Errors in Speech Recognition with Articulatory Dynamics,Frank Rudzicz,None
acl,https://aclanthology.org/P10-1008.pdf,Learning to Adapt to Unknown Users: Referring Expression Generation in Spoken Dialogue Systems,"Srinivasan Janarthanam,Oliver Lemon",None
acl,https://aclanthology.org/P10-1009.pdf,A Risk Minimization Framework for Extractive Speech Summarization,"Shih-Hsiang Lin,Berlin Chen",None
acl,https://aclanthology.org/P10-1010.pdf,The Human Language Project: Building a Universal Corpus of the World’s Languages,"Steven Abney,Steven Bird",None
acl,https://aclanthology.org/P10-1011.pdf,Bilingual Lexicon Generation Using Non-Aligned Signatures,"Daphna Shezaf,Ari Rappoport",None
acl,https://aclanthology.org/P10-1012.pdf,Automatic Evaluation Method for Machine Translation Using Noun-Phrase Chunking,"Hiroshi Echizen-ya,Kenji Araki",None
acl,https://aclanthology.org/P10-1013.pdf,Open Information Extraction Using Wikipedia,"Fei Wu,Daniel S. Weld",None
acl,https://aclanthology.org/P10-1014.pdf,SystemT: An Algebraic Approach to Declarative Information Extraction,"Laura Chiticariu,Rajasekar Krishnamurthy,Yunyao Li,Sriram Raghavan,Frederick Reiss,Shivakumar Vaithyanathan",None
acl,https://aclanthology.org/P10-1015.pdf,Extracting Social Networks from Literary Fiction,"David Elson,Nicholas Dames,Kathleen McKeown",None
acl,https://aclanthology.org/P10-1016.pdf,Pseudo-Word for Phrase-Based Machine Translation,"Xiangyu Duan,Min Zhang,Haizhou Li",None
acl,https://aclanthology.org/P10-1017.pdf,Hierarchical Search for Word Alignment,"Jason Riesa,Daniel Marcu",None
acl,https://aclanthology.org/P10-1018.pdf,“Was It Good? It Was Provocative.” Learning the Meaning of Scalar Adjectives,"Marie-Catherine de Marneffe,Christopher D. Manning,Christopher Potts",None
acl,https://aclanthology.org/P10-1019.pdf,Importance-Driven Turn-Bidding for Spoken Dialogue Systems,"Ethan Selfridge,Peter Heeman",None
acl,https://aclanthology.org/P10-1020.pdf,Entity-Based Local Coherence Modelling Using Topological Fields,"Jackie Chi Kit Cheung,Gerald Penn",None
acl,https://aclanthology.org/P10-1021.pdf,Syntactic and Semantic Factors in Processing Difficulty: An Integrated Measure,"Jeff Mitchell,Mirella Lapata,Vera Demberg,Frank Keller",None
acl,https://aclanthology.org/P10-1022.pdf,Rebanking CCGbank for Improved NP Interpretation,"Matthew Honnibal,James R. Curran,Johan Bos",None
acl,https://aclanthology.org/P10-1023.pdf,BabelNet: Building a Very Large Multilingual Semantic Network,"Roberto Navigli,Simone Paolo Ponzetto",None
acl,https://aclanthology.org/P10-1024.pdf,Fully Unsupervised Core-Adjunct Argument Classification,"Omri Abend,Ari Rappoport",None
acl,https://aclanthology.org/P10-1025.pdf,Towards Open-Domain Semantic Role Labeling,"Danilo Croce,Cristina Giannone,Paolo Annesi,Roberto Basili",None
acl,https://aclanthology.org/P10-1026.pdf,A Bayesian Method for Robust Estimation of Distributional Similarities,"Jun’ichi Kazama,Stijn De Saeger,Kow Kuroda,Masaki Murata,Kentaro Torisawa",None
acl,https://aclanthology.org/P10-1027.pdf,Recommendation in Internet Forums and Blogs,"Jia Wang,Qing Li,Yuanzhu Peter Chen,Zhangxi Lin",None
acl,https://aclanthology.org/P10-1028.pdf,Learning Phrase-Based Spelling Error Models from Clickthrough Data,"Xu Sun,Jianfeng Gao,Daniel Micol,Chris Quirk",None
acl,https://aclanthology.org/P10-1029.pdf,Inducing Domain-Specific Semantic Class Taggers from (Almost) Nothing,"Ruihong Huang,Ellen Riloff",None
acl,https://aclanthology.org/P10-1030.pdf,Learning 5000 Relational Extractors,"Raphael Hoffmann,Congle Zhang,Daniel S. Weld",None
acl,https://aclanthology.org/P10-1031.pdf,Unsupervised Ontology Induction from Text,"Hoifung Poon,Pedro Domingos",None
acl,https://aclanthology.org/P10-1032.pdf,Exploring Syntactic Structural Features for Sub-Tree Alignment Using Bilingual Tree Kernels,"Jun Sun,Min Zhang,Chew Lim Tan",None
acl,https://aclanthology.org/P10-1033.pdf,Discriminative Pruning for Discriminative ITG Alignment,"Shujie Liu,Chi-Ho Li,Ming Zhou",None
acl,https://aclanthology.org/P10-1034.pdf,Fine-Grained Tree-to-String Translation Rule Extraction,"Xianchao Wu,Takuya Matsuzaki,Jun’ichi Tsujii",None
acl,https://aclanthology.org/P10-1035.pdf,Accurate Context-Free Parsing with Combinatory Categorial Grammar,"Timothy A. D. Fowler,Gerald Penn",None
acl,https://aclanthology.org/P10-1036.pdf,Faster Parsing by Supertagger Adaptation,"Jonathan K. Kummerfeld,Jessika Roesner,Tim Dawborn,James Haggerty,James R. Curran,Stephen Clark",None
acl,https://aclanthology.org/P10-1037.pdf,Using Smaller Constituents Rather Than Sentences in Active Learning for Japanese Dependency Parsing,"Manabu Sassano,Sadao Kurohashi",None
acl,https://aclanthology.org/P10-1038.pdf,Conditional Random Fields for Word Hyphenation,"Nikolaos Trogkanis,Charles Elkan",None
acl,https://aclanthology.org/P10-1039.pdf,Enhanced Word Decomposition by Calibrating the Decision Threshold of Probabilistic Models and Using a Model Ensemble,"Sebastian Spiegler,Peter A. Flach",None
acl,https://aclanthology.org/P10-1040.pdf,Word Representations: A Simple and General Method for Semi-Supervised Learning,"Joseph Turian,Lev-Arie Ratinov,Yoshua Bengio",None
acl,https://aclanthology.org/P10-1041.pdf,Identifying Text Polarity Using Random Walks,"Ahmed Hassan,Dragomir R. Radev",None
acl,https://aclanthology.org/P10-1042.pdf,Sentiment Learning on Product Reviews via Sentiment Ontology Tree,"Wei Wei,Jon Atle Gulla",None
acl,https://aclanthology.org/P10-1043.pdf,Employing Personal/Impersonal Views in Supervised and Semi-Supervised Sentiment Classification,"Shoushan Li,Chu-Ren Huang,Guodong Zhou,Sophia Yat Mei Lee",None
acl,https://aclanthology.org/P10-1044.pdf,A Latent Dirichlet Allocation Method for Selectional Preferences,"Alan Ritter,Mausam,Oren Etzioni",None
acl,https://aclanthology.org/P10-1045.pdf,Latent Variable Models of Selectional Preference,Diarmuid Ó Séaghdha,None
acl,https://aclanthology.org/P10-1046.pdf,Improving the Use of Pseudo-Words for Evaluating Selectional Preferences,"Nathanael Chambers,Daniel Jurafsky",None
acl,https://aclanthology.org/P10-1047.pdf,Syntax-to-Morphology Mapping in Factored Phrase-Based Statistical Machine Translation from English to Turkish,"Reyyan Yeniterzi,Kemal Oflazer",None
acl,https://aclanthology.org/P10-1048.pdf,Hindi-to-Urdu Machine Translation through Transliteration,"Nadir Durrani,Hassan Sajjad,Alexander Fraser,Helmut Schmid",None
acl,https://aclanthology.org/P10-1049.pdf,Training Phrase Translation Models with Leaving-One-Out,"Joern Wuebker,Arne Mauser,Hermann Ney",None
acl,https://aclanthology.org/P10-1050.pdf,Efficient Staggered Decoding for Sequence Labeling,"Nobuhiro Kaji,Yasuhiro Fujiwara,Naoki Yoshinaga,Masaru Kitsuregawa",None
acl,https://aclanthology.org/P10-1051.pdf,Minimized Models and Grammar-Informed Initialization for Supertagging with Highly Ambiguous Lexicons,"Sujith Ravi,Jason Baldridge,Kevin Knight",None
acl,https://aclanthology.org/P10-1052.pdf,Practical Very Large Scale CRFs,"Thomas Lavergne,Olivier Cappé,François Yvon",None
acl,https://aclanthology.org/P10-1053.pdf,On the Computational Complexity of Dominance Links in Grammatical Formalisms,Sylvain Schmitz,None
acl,https://aclanthology.org/P10-1054.pdf,Optimal Rank Reduction for Linear Context-Free Rewriting Systems with Fan-Out Two,"Benoît Sagot,Giorgio Satta",None
acl,https://aclanthology.org/P10-1055.pdf,The Importance of Rule Restrictions in CCG,"Marco Kuhlmann,Alexander Koller,Giorgio Satta",None
acl,https://aclanthology.org/P10-1056.pdf,Automatic Evaluation of Linguistic Quality in Multi-Document Summarization,"Emily Pitler,Annie Louis,Ani Nenkova",None
acl,https://aclanthology.org/P10-1057.pdf,Identifying Non-Explicit Citing Sentences for Citation-Based Summarization.,"Vahed Qazvinian,Dragomir R. Radev",None
acl,https://aclanthology.org/P10-1058.pdf,Automatic Generation of Story Highlights,"Kristian Woodsend,Mirella Lapata",None
