conference,url,title,authors,abstract,citations
emnlp,https://aclanthology.org/D12-1001.pdf,Syntactic Transfer Using a Bilingual Lexicon,"Greg Durrett,Adam Pauls,Dan Klein",None,61
emnlp,https://aclanthology.org/D12-1002.pdf,Regularized Interlingual Projections: Evaluation on Multilingual Transliteration,"Jagadeesh Jagarlamudi,Hal Daumé III",None,14
emnlp,https://aclanthology.org/D12-1003.pdf,Bilingual Lexicon Extraction from Comparable Corpora Using Label Propagation,"Akihiro Tamura,Taro Watanabe,Eiichiro Sumita",None,82
emnlp,https://aclanthology.org/D12-1004.pdf,Lexical Differences in Autobiographical Narratives from Schizophrenic Patients and Healthy Controls,"Kai Hong,Christian G. Kohler,Mary E. March,Amber A. Parker,Ani Nenkova",None,8
emnlp,https://aclanthology.org/D12-1005.pdf,Streaming Analysis of Discourse Participants,Benjamin Van Durme,None,37
emnlp,https://aclanthology.org/D12-1006.pdf,Detecting Subgroups in Online Discussions by Modeling Positive and Negative Relations among Participants,"Ahmed Hassan,Amjad Abu-Jbara,Dragomir Radev",None,70
emnlp,https://aclanthology.org/D12-1007.pdf,Generative Goal-Driven User Simulation for Dialog Management,"Aciel Eshky,Ben Allison,Mark Steedman",None,6
emnlp,https://aclanthology.org/D12-1008.pdf,Optimising Incremental Dialogue Decisions Using Information Density for Interactive Systems,"Nina Dethlefs,Helen Hastie,Verena Rieser,Oliver Lemon",None,39
emnlp,https://aclanthology.org/D12-1009.pdf,Mixed Membership Markov Models for Unsupervised Conversation Modeling,Michael J. Paul,None,42
emnlp,https://aclanthology.org/D12-1010.pdf,An Entity-Topic Model for Entity Linking,"Xianpei Han,Le Sun",None,116
emnlp,https://aclanthology.org/D12-1011.pdf,Linking Named Entities to Any Database,"Avirup Sil,Ernest Cronin,Penghai Nie,Yinfei Yang,Ana-Maria Popescu,Alexander Yates",None,49
emnlp,https://aclanthology.org/D12-1012.pdf,Towards Efficient Named-Entity Rule Induction for Customizability,"Ajay Nagesh,Ganesh Ramakrishnan,Laura Chiticariu,Rajasekar Krishnamurthy,Ankush Dharkar,Pushpak Bhattacharyya",None,15
emnlp,https://aclanthology.org/D12-1013.pdf,Active Learning for Imbalanced Sentiment Classification,"Shoushan Li,Shengfeng Ju,Guodong Zhou,Xiaojun Li",None,82
emnlp,https://aclanthology.org/D12-1014.pdf,A Weakly Supervised Model for Sentence-Level Semantic Orientation Analysis with Multiple Experts,"Lizhen Qu,Rainer Gemulla,Gerhard Weikum",None,25
emnlp,https://aclanthology.org/D12-1015.pdf,Collocation Polarity Disambiguation Using Web-based Pseudo Contexts,"Yanyan Zhao,Bing Qin,Ting Liu",None,17
