conference,url,title,authors,abstract,citations
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5509496,Homography-based visual servoing of an aircraft for automatic approach and landing,"Tiago Gonçalves,José Azinheira,Patrick Rives,","This paper proposes the Euclidean homography matrix as visual feature in an image-based visual servoing scheme in order to control an aircraft along the approach and landing phase. With a trajectory defined in the image space by a sequence of equidistant key images along the glidepath, an interpolation in the homography space is also proposed in order to reduce the database size and ensure the required smoothness of the control task. In addition, a pan-tilt control was taken into account to respect the dynamics of the aircraft during manoeuvres and in the presence of wind perturbations. An optimal control design based on the linearized model of the aircraft dynamics is then consider to cancel the visual error function. To demonstrate the proposed concept, simulation results under realistic atmospheric disturbances are presented.",29
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5509421,Communication-based leashing of real flying robots,"Sabine Hauert,Severin Leven,Jean-Christophe Zufferey,Dario Floreano,","Aerial robots are often required to remain within the communication range of a base station on the ground to exchange commands, sensor data or as a safety mechanism. For this purpose, we propose a minimal control strategy for steering flying robots using only communication hardware (e.g. WiFi module or radio modem) instead of GPS or cameras. To avoid being dependent on the specifics of the communication hardware or its driver, we propose to measure the number of messages the robot receives from the base as a control input. Leashing is then performed by having the robot react to low message rates by moving towards the base in order to improve the communication. Results show both in theory and reality that this strategy can leash the robot to the base in scenarios with limited wind or base mobility.",17
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5509920,Vision based MAV navigation in unknown and unstructured environments,"Michael Blösch,Stephan Weiss,Davide Scaramuzza,Roland Siegwart,","Within the research on Micro Aerial Vehicles (MAVs), the field on flight control and autonomous mission execution is one of the most active. A crucial point is the localization of the vehicle, which is especially difficult in unknown, GPS-denied environments. This paper presents a novel vision based approach, where the vehicle is localized using a downward looking monocular camera. A state-of-the-art visual SLAM algorithm tracks the pose of the camera, while, simultaneously, building an incremental map of the surrounding region. Based on this pose estimation a LQG/LTR based controller stabilizes the vehicle at a desired setpoint, making simple maneuvers possible like take-off, hovering, setpoint following or landing. Experimental data show that this approach efficiently controls a helicopter while navigating through an unknown and unstructured environment. To the best of our knowledge, this is the first work describing a micro aerial vehicle able to navigate through an unexplored environment (independently of any external aid like GPS or artificial beacons), which uses a single camera as only exteroceptive sensor.",514
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5509465,UAV altitude and attitude stabilisation using a coaxial stereo vision system,"Richard J. D. Moore,Saul Thurrowgood,Daniel Bland,Dean Soccol,,","This study describes a novel, vision-based system for guidance of UAVs. The system uses two coaxially aligned cameras, each associated with a specially-shaped reflective surface, to obtain stereo information on the height above ground and the distances to potential obstacles. The camera-mirror system has the advantage that it remaps the world onto a cylindrical co-ordinate system that simplifies and speeds up range computations, and defines a collision-free cylinder through which the aircraft can pass without encountering obstacles. We describe an approach, using this vision system, in which the attitude and altitude of an aircraft can be controlled directly, making the system particularly suited to terrain following, obstacle avoidance, and landing. The autonomous guidance of an aircraft performing a terrain following task using the system is demonstrated in field tests.",28
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5509287,3D pose estimation based on planar object tracking for UAVs control,"Iván F Mondragón,Pascual Campoy,Carol Martínez,Miguel A. Olivares-Méndez,","This article presents a real time Unmanned Aerial Vehicles UAVs 3D pose estimation method using planar object tracking, in order to be used on the control system of a UAV. The method explodes the rich information obtained by a projective transformation of planar objects on a calibrated camera. The algorithm obtains the metric and projective components of a reference object (landmark or helipad) with respect to the UAV camera coordinate system, using a robust real time object tracking based on homographies. The algorithm is validated on real flights that compare the estimated data against that obtained by the inertial measurement unit IMU, showing that the proposed method robustly estimates the helicopter's 3D position with respect to a reference landmark, with a high quality on the position and orientation estimation when the aircraft is flying at low altitudes, a situation in which the GPS information is often inaccurate. The obtained results indicate that the proposed algorithm is suitable for complex control tasks, such as autonomous landing, accurate low altitude positioning and dropping of payloads.",98
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5509821,“Architectural Robotics”: An interdisciplinary course rethinking the machines we live in,"Apoorva Kapadia,Ian Walker,Keith Evan Green,Joe Manganelli,,,,,,,","We discuss disciplinary barriers which have traditionally prevented robotics from significantly impacting the built (architectural) environment we inhabit. Specifically, we describe the implementation of, and lessons learned from, a multidisciplinary graduate-level course in Architectural Robotics. The results from class interactions and projects provide insight into novel ways in which robotics expertise can be effectively leveraged in architecture. Conversely, our outcomes suggest ways in which the knowledge and perspective of architects could stimulate significant innovations in robotics.",12
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5509183,A hovering control strategy for a tail-sitter VTOL UAV that increases stability against large disturbance,"Takaaki Matsumoto,Koichi Kita,Ren Suzuki,Atsushi Oosedo,Kenta Go,,,,","The application range of UAVs (unmanned aerial vehicles) is expanding along with performance upgrades. Vertical take-off and landing (VTOL) aircraft has the merits of both fixed-wing and rotary-wing aircraft. Tail-sitting is the simplest way for the VTOL maneuver since it does not need extra actuators. However, conventional hovering control for a tail-sitter UAV is not robust enough against large disturbance such as a blast of wind, a bird strike, and so on. It is experimentally observed that the conventional quaternion feedback hovering control often fails to keep stability when the control compensates large attitude errors. This paper proposes a novel hovering control strategy for a tail-sitter VTOL UAV that increases stability against large disturbance. In order to verify the proposed hovering control strategy, simulations and experiments on hovering of the UAV are performed giving large attitude errors. The results show that the proposed control strategy successfully compensates initial large attitude errors keeping stability, while the conventional quaternion feedback controller fails.",89
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5509359,"Design of iMobot, an intelligent reconfigurable mobile robot with novel locomotion","Graham G. Ryland,Harry H. Cheng,","The design and novel features of a reconfigurable modular robot, called iMobot, with four controllable degrees of freedom is presented in this paper. iMobot, which is designed for search and rescue operations as well as other applications such as research and teaching, has versatile locomotion, including a unique feature of driving as though with wheels and lifting itself into a camera platform. Future work is envisioned for using these modules in clusters to achieve advanced mobility. The accompanying video demonstrates the various locomotion of the modular robot.",86
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5509214,Sambot: A self-assembly modular robot for swarm robot,"Hongxing Wei,Yingpeng Cai,Haiyuan Li,Dezhong Li,Tianmiao Wang,","This paper presents a novel self-assembly modular robot (Sambot) that also shares characteristics with self-reconfigurable and self-assembly and swarm robots. Each Sambot can move autonomously and connect with the others. Multiple Sambot can be self-assembled to form a robotic structure, which can be reconfigured into different configurable robots and can locomote. A novel mechanical design is described to realize function of autonomous motion and docking. Introducing embedded mechatronics integrated technology, whole actuators, sensors, microprocessors, power and communication unit are embedded in the module. The Sambot is compact and flexible, the overall size is 80×80×102mm. The preliminary self-assembly and self-reconfiguration of Sambot is discussed, and several possible configurations consisting of multiple Sambot are designed in simulation environment. At last, the experiment of self-assembly and self-reconfiguration and locomotion of multiple Sambot has been implemented.",93
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5509660,Hybrid aerial and scansorial robotics,"Alexis Lussier Desbiens,Alan Asbeck,Mark Cutkosky,","We present an approach that builds upon previous developments in unmanned air vehicles and climbing robots and seeks to emulate the capabilities of bats, insects and certain birds that combine powered flight with the ability to land and perch on sloped and vertical surfaces. As it approaches a wall, the plane executes an intentional pitch-up maneuver to shed speed and present its feet for landing. On contact, a nonlinear suspension dissipates the remaining kinetic energy and directs interaction forces toward the feet to engage small asperities on surfaces such as brick or concrete. The focus of the work in this paper is on the controller used for sensing a wall and executing vertical landing and take-off procedures and on the mechanisms developed for spine engagement and disengagement.",44
