conference,url,title,authors,abstract
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6225295,State estimation for aggressive flight in GPS-denied environments using onboard sensing,"Adam Bry,Abraham Bachrach,Nicholas Roy,",In this paper we present a state estimation method based on an inertial measurement unit (IMU) and a planar laser range finder suitable for use in real-time on a fixed-wing micro air vehicle (MAV). The algorithm is capable of maintaing accurate state estimates during aggressive flight in unstructured 3D environments without the use of an external positioning system. Our localization algorithm is based on an extension of the Gaussian Particle Filter. We partition the state according to measurement independence relationships and then calculate a pseudo-linear update which allows us to use 20x fewer particles than a naive implementation to achieve similar accuracy in the state estimate. We also propose a multi-step forward fitting method to identify the noise parameters of the IMU and compare results with and without accurate position measurements. Our process and measurement models integrate naturally with an exponential coordinates representation of the attitude uncertainty. We demonstrate our algorithms experimentally on a fixed-wing vehicle flying in a challenging indoor environment.
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6225146,Autonomous indoor 3D exploration with a micro-aerial vehicle,"Shaojie Shen,Nathan Michael,Vijay Kumar,","In this paper, we propose a stochastic differential equation-based exploration algorithm to enable exploration in three-dimensional indoor environments with a payload constrained micro-aerial vehicle (MAV). We are able to address computation, memory, and sensor limitations by considering only the known occupied space in the current map. We determine regions for further exploration based on the evolution of a stochastic differential equation that simulates the expansion of a system of particles with Newtonian dynamics. The regions of most significant particle expansion correlate to unexplored space. After identifying and processing these regions, the autonomous MAV navigates to these locations to enable fully autonomous exploration. The performance of the approach is demonstrated through numerical simulations and experimental results in single and multi-floor indoor experiments."
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6224954,Wind field estimation for autonomous dynamic soaring,"Jack W. Langelaan,John Spletzer,Corey Montella,Joachim Grenestedt,","A method for distributed parameter estimation of a previously unknown wind field is described. The application is dynamic soaring for small unmanned air vehicles, which severely constrains available computing while simultaneously requiring updates that are fast compared with a typical dynamic soaring cycle. A polynomial parameterization of the wind field is used, allowing implementation of a linear Kalman filter for parameter estimation. Results of Monte Carlo simulations show the effectiveness of the approach. In addition, in-flight measurements of wind speeds are compared with data obtained from video tracking of balloon launches to assess the accuracy of wind field estimates obtained using commercial autopilot modules."
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6225196,Decentralized formation control with variable shapes for aerial robots,"Matthew Turpin,Nathan Michael,Vijay Kumar,","We address formation control for a team of quadrotors in which the robots follow a specified group trajectory while safely changing the shape of the formation according to specifications. The formation is prescribed by shape vectors which dictate the relative separations and bearings between the robots, while the group trajectory is specified as the desired trajectory of a leader or a virtual robot in the group. Each robot plans its trajectory independently based on its local information of neighboring robots which includes both the neighbor's planned trajectory and an estimate of its state. We show that the decentralized trajectory planners (a) result in consensus on the planned trajectory for predefined shapes and (b) achieve safe reconfiguration when changing shapes."
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6225002,Versatile distributed pose estimation and sensor self-calibration for an autonomous MAV,"Stephan Weiss,Markus W. Achtelik,Margarita Chli,Roland Siegwart,","In this paper, we present a versatile framework to enable autonomous flights of a Micro Aerial Vehicle (MAV) which has only slow, noisy, delayed and possibly arbitrarily scaled measurements available. Using such measurements directly for position control would be practically impossible as MAVs exhibit great agility in motion. In addition, these measurements often come from a selection of different onboard sensors, hence accurate calibration is crucial to the robustness of the estimation processes. Here, we address these problems using an EKF formulation which fuses these measurements with inertial sensors. We do not only estimate pose and velocity of the MAV, but also estimate sensor biases, scale of the position measurement and self (inter-sensor) calibration in real-time. Furthermore, we show that it is possible to obtain a yaw estimate from position measurements only. We demonstrate that the proposed framework is capable of running entirely onboard a MAV performing state prediction at the rate of 1 kHz. Our results illustrate that this approach is able to handle measurement delays (up to 500ms), noise (std. deviation up to 20 cm) and slow update rates (as low as 1 Hz) while dynamic maneuvers are still possible. We present a detailed quantitative performance evaluation of the real system under the influence of different disturbance parameters and different sensor setups to highlight the versatility of our approach."
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6224640,Probabilistic velocity estimation for autonomous miniature airships using thermal air flow sensors,"Jörg Müller,Oliver Paul,Wolfram Burgard,","Recently, autonomous miniature airships have become a growing research field. Whereas airships are attractive as they can move freely in the three-dimensional space, their high-dimensional state space and the restriction to small and lightweight sensors are demanding constraints with respect to self-localization. Furthermore, their complex second-order kinematics makes the estimation of their pose and velocity through dead reckoning odometry difficult and imprecise. In this paper, we consider the problem of estimating the velocity of a miniature blimp with lightweight air flow sensors. We present a probabilistic sensor model that accurately models the uncertainty of the flow sensors and thus allows for robust state estimation using a particle filter. In experiments carried out with a real airship we demonstrate that our method precisely estimates the velocity of the blimp and outperforms the standard velocity estimates of the motion model as applied in many existent autonomous blimp navigation systems."
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6225056,Switching control design for accommodating large step-down disturbances in bipedal robot walking,"Hae-Won Park,Koushil Sreenath,Alireza Ramezani,J.W. Grizzle,","This paper presents a feedback controller that allows MABEL, a kneed, planar bipedal robot, with 1 m-long legs, to accommodate an abrupt 20 cm decrease in ground height. The robot is provided information on neither where the step down occurs, nor by how much. After the robot has stepped off a raised platform, however, the height of the platform can be estimated from the lengths of the legs and the angles of the robot's joints. A real-time control strategy is implemented that uses this on-line estimate of step-down height to switch from a baseline controller, that is designed for flat-ground walking, to a second controller, that is designed to attenuate torso oscillation resulting from the step-down disturbance. After one step, the baseline controller is re-applied. The control strategy is developed on a simplified-design model of the robot and then verified on a more realistic model before being evaluated experimentally. The paper concludes with experimental results showing MABEL (blindly) stepping off a 20 cm high platform."
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6224944,Design and experimental implementation of a compliant hybrid zero dynamics controller with active force control for running on MABEL,"Koushil Sreenath,Hae-Won Park,J. W. Grizzle,","This paper presents a control design based on the method of virtual constraints and hybrid zero dynamics to achieve stable running on MABEL, a planar biped with compliance. In particular, a time-invariant feedback controller is designed such that the closed-loop system not only respects the natural compliance of the open-loop system, but also enables active force control within the compliant hybrid zero dynamics and results in exponentially stable running gaits. The compliant-hybrid-zero-dynamics-based controller with active force control is implemented experimentally and shown to realize stable running gaits on MABEL at an average speed of 1.95 m/s (4.4 mph) and a peak speed of 3.06 m/s (6.8 mph). The obtained gait has flight phases upto 39% of the gait, and an estimated ground clearance of 7.5 – 10 cm."
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6224557,Walking control strategy for biped robots based on central pattern generator,"Chengju Liu,Qijun Chen,",This paper deals with the walking control of biped robots inspired by biological concept of central pattern generator (CPG). A control architecture is proposed with a trajectory generator and a motion engine. The trajectory generator consists of a CoG (center of gravity) trajectory generator and a foot trajectory modulator. The CoG generator generates adaptive CoG trajectories online and the foot trajectories can be modulated based on the generated CoG trajectories. A biped platform NAO is used to validate the proposed locomotion control system. The experimental results confirm the effectiveness of the proposed control architecture.
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6225139,On the Lyapunov stability of quasistatic planar biped robots,"Péter L. Várkonyi,David Gontier,Joel W. Burdick,","We investigate the local motion of a planar rigid body with unilateral constraints in the neighborhood of a two-contact frictional equilibrium configuration on a slope. A new sufficient condition of Lyapunov stability is developed in the presence of arbitrary external forces. Additionally, we construct an example, which is stable against perturbations by infinitesimal forces, but does not possess Lyapunov stability against infinitesimal displacements or impulses. The great difference between previous stability criteria and ours leads to further questions about the nature of the exact stability condition."
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6225126,Hardware experiments of humanoid robot safe fall using Aldebaran NAO,"Seung-Kook Yun,Ambarish Goswami,","Although the fall of a humanoid robot is rare in controlled environments, it cannot be avoided in the real world where the robot may physically interact with the environment. Our earlier work [1], [2] introduced the strategy of direction-changing fall, in which the robot attempts to reduce the chance of human injury by changing its default fall direction in real-time and falling in a safer direction. The current paper reports further theoretical developments culminating in a successful hardware implementation of this fall strategy conducted on the Aldebaran NAO robot[3]. This includes new algorithms for humanoid kinematics and Jacobians involving coupled joints and a complete estimation of the body frame attitude using an additional inertial measurement unit. Simulations and experiments are smoothly handled by our platform independent humanoid control software package called Locomote. We report experiment scenarios where we demonstrate the effectiveness of the proposed strategies in changing humanoid fall direction."
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6224882,Control design to achieve dynamic walking on a bipedal robot with compliance,"Bokman Lim,Minhyung Lee,Joohyung Kim,Jusuk Lee,Jaeho Park,,,","We propose a control framework for dynamic bipedal locomotion with compliant joints. A novel 3D dynamic walking is achieved by utilizing natural dynamics of the system. It is done by 1) driving robot joints directly with the posture-based state machine and 2) controlling tendon-driven compliant actuators. To enlarge gait's basin attraction for stable walking, we also adaptively plan step-to-step motion and compensate stance/swing motion. Final joint input is described by a superposition of state machine control torques and compensation torques of balancers. Various walking styles are easily generated by composing straight and turning gait-primitives and such walking is effectively able to adapt on various environments. Our proposed method is applied to a torque controlled robot platform, Roboray. Experimental results show that gaits are able to traverse inclined and rough terrains with bounded variations, and the result gaits are human-like comparing the conventional knee bent walkers."
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6225072,RTMBA: A Real-Time Model-Based Reinforcement Learning Architecture for robot control,"Todd Hester,Michael Quinlan,Peter Stone,","Reinforcement Learning (RL) is a paradigm for learning decision-making tasks that could enable robots to learn and adapt to their situation on-line. For an RL algorithm to be practical for robotic control tasks, it must learn in very few samples, while continually taking actions in real-time. Existing model-based RL methods learn in relatively few samples, but typically take too much time between each action for practical on-line learning. In this paper, we present a novel parallel architecture for model-based RL that runs in real-time by 1) taking advantage of sample-based approximate planning methods and 2) parallelizing the acting, model learning, and planning processes in a novel way such that the acting process is sufficiently fast for typical robot control cycles. We demonstrate that algorithms using this architecture perform nearly as well as methods using the typical sequential architecture when both are given unlimited time, and greatly out-perform these methods on tasks that require real-time actions such as controlling an autonomous vehicle."
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6224972,Sensorimotor learning of sound localization from an auditory evoked behavior,"Mathieu Bernard,Patrick Pirim,Alain de Cheveigné,Bruno Gas,","A new method for self-supervised sensorimotor learning of sound source localization is presented, that allows a simulated listener to learn online an auditorimotor map from the sensorimotor experience provided by an auditory evoked behavior. The map represents the auditory space and is used to estimate the azimuthal direction of sound sources. The learning mainly consists in non-linear dimensionality reduction of sensorimotor data. Our results show that an auditorimotor map can be learned, both from real and simulated data, and that the online learning leads to accurate estimations of azimuthal sources direction."
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6224684,Path-following control of a velocity constrained tracked vehicle incorporating adaptive slip estimation,"Michael Burke,","This work presents a model predictive path-following controller, which incorporates adaptive slip estimation for a tracked vehicle. Tracked vehicles are capable of manoeuvring in highly variable and uneven terrain, but difficulties in their control have traditionally limited their use as autonomous platforms. Attempts to compensate for slip in environments typically require that both the forward and rotational velocities of a platform be determined, but this can be challenging. This paper shows that it is possible to estimate vehicle traction using only a rate gyroscope, by providing a suitable adaptive least squares estimator to do so. An approach to generating slip compensating controls when platform velocity constraints are applied is also presented. The approach is controller independent, but we make use of a model predictive controller, vulnerable to the effects of model-plant mismatch, to highlight the efficacy of the proposed estimation and compensation. Path following results using a mixture model to generate feasible slip values are presented, and show a significant increase in controller performance."
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6224849,Direct yaw moment control for four wheel independent steering and drive vehicles based on centripetal force detection,"Tin Lun Lam,Huihuan Qian,Yangsheng Xu,","In this paper, a deterministic yaw moment controller for four wheel independent steering and drive vehicles is proposed to enhance driving stability and controllability. Different to conventional methods that track a desired yaw rate, the proposed controller stabilizes a vehicle by additionally tracking the heading angle of a vehicle which is more efficient and robust. The heading angle of a vehicle is obtained by a novel method which is based on centripetal force detection. It eliminates the prerequisite knowledge of the characteristics between wheels and road surface which are time varying and difficult to be measured in real time. The proposed system only requires low cost sensing equipment such as wheel speed sensor and accelerometer that makes the system practical to be utilized. The proposed heading angle detection method can be generally applied to any kind of vehicle. The deterministic yaw moment controller is also applicable to any type of four wheel independent drive vehicles."
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=6224935,Predictive control of chained systems: A necessary condition on the control horizon,"Estelle Courtial,Matthieu Fruchard,Guillaume Allibert,","This paper deals with state feedback control of chained systems based on a Nonlinear Model Predictive Control (NMPC) strategy. Chained systems can model many common nonholonomic vehicles. We establish a relation between the degree of nonholonomy and the minimum length of the control horizon so as to make the NMPC feasible. A necessary condition on the control horizon of NMPC is given and theoretically proved whatever the dimension of the chained system considered. This relation is used to design a NMPC-based control strategy for chained systems. One of the advantages of NMPC is the capability of taking into account the constraints on state and on control variables. The theoretical results are illustrated through simulations on a (2,5) chained system, describing a car-like vehicle with one trailer. Difficult motion objectives that require a lateral displacement are considered."
