conference,url,title,authors,abstract,citations
acl,https://aclanthology.org/P13-1001.pdf,A Shift-Reduce Parsing Algorithm for Phrase-based String-to-Dependency Translation,Yang Liu,None,6
acl,https://aclanthology.org/P13-1002.pdf,Integrating Translation Memory into Phrase-Based Machine Translation during Decoding,"Kun Wang,Chengqing Zong,Keh-Yih Su",None,39
acl,https://aclanthology.org/P13-1003.pdf,Training Nondeficient Variants of IBM-3 and IBM-4 for Word Alignment,Thomas Schoenemann,None,2
acl,https://aclanthology.org/P13-1004.pdf,Modelling Annotator Bias with Multi-task Gaussian Processes: An Application to Machine Translation Quality Estimation,"Trevor Cohn,Lucia Specia",None,110
acl,https://aclanthology.org/P13-1005.pdf,Smoothed marginal distribution constraints for language modeling,"Brian Roark,Cyril Allauzen,Michael Riley",None,14
acl,https://aclanthology.org/P13-1006.pdf,Grounded Language Learning from Video Described with Sentences,"Haonan Yu,Jeffrey Mark Siskind",None,159
acl,https://aclanthology.org/P13-1007.pdf,"Plurality, Negation, and Quantification:Towards Comprehensive Quantifier Scope Disambiguation","Mehdi Manshadi,Daniel Gildea,James Allen",None,9
acl,https://aclanthology.org/P13-1008.pdf,Joint Event Extraction via Structured Prediction with Global Features,"Qi Li,Heng Ji,Liang Huang",None,420
acl,https://aclanthology.org/P13-1009.pdf,Language-Independent Discriminative Parsing of Temporal Expressions,"Gabor Angeli,Jakob Uszkoreit",None,30
acl,https://aclanthology.org/P13-1010.pdf,Graph-based Local Coherence Modeling,"Camille Guinaudeau,Michael Strube",None,130
acl,https://aclanthology.org/P13-1011.pdf,Recognizing Rare Social Phenomena in Conversation: Empowerment Detection in Support Group Chatrooms,"Elijah Mayfield,David Adamson,Carolyn Penstein Rosé",None,6
acl,https://aclanthology.org/P13-1012.pdf,Decentralized Entity-Level Modeling for Coreference Resolution,"Greg Durrett,David Hall,Dan Klein",None,49
acl,https://aclanthology.org/P13-1013.pdf,Chinese Parsing Exploiting Characters,"Meishan Zhang,Yue Zhang,Wanxiang Che,Ting Liu",None,87
acl,https://aclanthology.org/P13-1014.pdf,A Transition-Based Dependency Parser Using a Dynamic Parsing Strategy,"Francesco Sartorio,Giorgio Satta,Joakim Nivre",None,30
acl,https://aclanthology.org/P13-1015.pdf,General binarization for parsing and translation,"Matthias Büchse,Alexander Koller,Heiko Vogler",None,6
acl,https://aclanthology.org/P13-1016.pdf,Distortion Model Considering Rich Context for Statistical Machine Translation,"Isao Goto,Masao Utiyama,Eiichiro Sumita,Akihiro Tamura,Sadao Kurohashi",None,14
acl,https://aclanthology.org/P13-1017.pdf,Word Alignment Modeling with Context Dependent Deep Neural Network,"Nan Yang,Shujie Liu,Mu Li,Ming Zhou,Nenghai Yu",None,100
acl,https://aclanthology.org/P13-1018.pdf,Microblogs as Parallel Corpora,"Wang Ling,Guang Xiang,Chris Dyer,Alan Black,Isabel Trancoso",None,83
acl,https://aclanthology.org/P13-1019.pdf,Improved Bayesian Logistic Supervised Topic Models with Data Augmentation,"Jun Zhu,Xun Zheng,Bo Zhang",None,17
acl,https://aclanthology.org/P13-1020.pdf,Fast and Robust Compressive Summarization with Dual Decomposition and Multi-Task Learning,"Miguel Almeida,André Martins",None,89
acl,https://aclanthology.org/P13-1021.pdf,Unsupervised Transcription of Historical Documents,"Taylor Berg-Kirkpatrick,Greg Durrett,Dan Klein",None,46
acl,https://aclanthology.org/P13-1022.pdf,Adapting Discriminative Reranking to Grounded Language Learning,"Joohyun Kim,Raymond Mooney",None,41
acl,https://aclanthology.org/P13-1023.pdf,Universal Conceptual Cognitive Annotation (UCCA),"Omri Abend,Ari Rappoport",None,213
