conference,url,title,authors,abstract
emnlp,https://aclanthology.org/D13-1001.pdf,Event-Based Time Label Propagation for Automatic Dating of News Articles,"Tao Ge,Baobao Chang,Sujian Li,Zhifang Sui",None
emnlp,https://aclanthology.org/D13-1002.pdf,Exploiting Discourse Analysis for Article-Wide Temporal Classification,"Jun-Ping Ng,Min-Yen Kan,Ziheng Lin,Wei Feng,Bin Chen,Jian Su,Chew-Lim Tan",None
emnlp,https://aclanthology.org/D13-1003.pdf,Combining Generative and Discriminative Model Scores for Distant Supervision,"Benjamin Roth,Dietrich Klakow",None
emnlp,https://aclanthology.org/D13-1004.pdf,Exploring the Utility of Joint Morphological and Syntactic Learning from Child-directed Speech,"Stella Frank,Frank Keller,Sharon Goldwater",None
emnlp,https://aclanthology.org/D13-1005.pdf,"A Joint Learning Model of Word Segmentation, Lexical Acquisition, and Phonetic Variability","Micha Elsner,Sharon Goldwater,Naomi Feldman,Frank Wood",None
emnlp,https://aclanthology.org/D13-1006.pdf,Animacy Detection with Voting Models,"Joshua Moore,Christopher J.C. Burges,Erin Renshaw,Wen-tau Yih",None
emnlp,https://aclanthology.org/D13-1007.pdf,A Log-Linear Model for Unsupervised Text Normalization,"Yi Yang,Jacob Eisenstein",None
emnlp,https://aclanthology.org/D13-1008.pdf,Paraphrasing 4 Microblog Normalization,"Wang Ling,Chris Dyer,Alan W Black,Isabel Trancoso",None
emnlp,https://aclanthology.org/D13-1009.pdf,Question Difficulty Estimation in Community Question Answering Services,"Jing Liu,Quan Wang,Chin-Yew Lin,Hsiao-Wuen Hon",None
emnlp,https://aclanthology.org/D13-1010.pdf,Measuring Ideological Proportions in Political Speeches,"Yanchuan Sim,Brice D. L. Acree,Justin H. Gross,Noah A. Smith",None
emnlp,https://aclanthology.org/D13-1011.pdf,Learning to Freestyle: Hip Hop Challenge-Response Induction via Transduction Rule Segmentation,"Dekai Wu,Karteek Addanki,Markus Saers,Meriem Beloucif",None
emnlp,https://aclanthology.org/D13-1012.pdf,Modeling Scientific Impact with Topical Influence Regression,"James Foulds,Padhraic Smyth",None
emnlp,https://aclanthology.org/D13-1013.pdf,Joint Parsing and Disfluency Detection in Linear Time,"Mohammad Sadegh Rasooli,Joel Tetreault",None
emnlp,https://aclanthology.org/D13-1014.pdf,Modeling and Learning Semantic Co-Compositionality through Prototype Projections and Neural Networks,"Masashi Tsubaki,Kevin Duh,Masashi Shimbo,Yuji Matsumoto",None
emnlp,https://aclanthology.org/D13-1015.pdf,Studying the Recursive Behaviour of Adjectival Modification with Compositional Distributional Semantics,"Eva Maria Vecchi,Roberto Zamparelli,Marco Baroni",None
emnlp,https://aclanthology.org/D13-1016.pdf,Learning Latent Word Representations for Domain Adaptation using Supervised Word Clustering,"Min Xiao,Feipeng Zhao,Yuhong Guo",None
emnlp,https://aclanthology.org/D13-1017.pdf,Appropriately Incorporating Statistical Significance in PMI,"Om P. Damani,Shweta Ghonge",None
emnlp,https://aclanthology.org/D13-1018.pdf,Growing Multi-Domain Glossaries from a Few Seeds using Probabilistic Topic Models,"Stefano Faralli,Roberto Navigli",None
emnlp,https://aclanthology.org/D13-1019.pdf,Joint Learning of Phonetic Units and Word Pronunciations for ASR,"Chia-ying Lee,Yu Zhang,James Glass",None
emnlp,https://aclanthology.org/D13-1020.pdf,MCTest: A Challenge Dataset for the Open-Domain Machine Comprehension of Text,"Matthew Richardson,Christopher J.C. Burges,Erin Renshaw",None
emnlp,https://aclanthology.org/D13-1021.pdf,Noise-Aware Character Alignment for Bootstrapping Statistical Machine Transliteration from Bilingual Corpora,"Katsuhito Sudoh,Shinsuke Mori,Masaaki Nagata",None
emnlp,https://aclanthology.org/D13-1022.pdf,Optimal Beam Search for Machine Translation,"Alexander Rush,Yin-Wen Chang,Michael Collins",None
emnlp,https://aclanthology.org/D13-1023.pdf,An Efficient Language Model Using Double-Array Structures,"Makoto Yasuhara,Toru Tanaka,Jun-ya Norimatsu,Mikio Yamamoto",None
emnlp,https://aclanthology.org/D13-1024.pdf,Structured Penalties for Log-Linear Language Models,"Anil Kumar Nelakanti,Cédric Archambeau,Julien Mairal,Francis Bach,Guillaume Bouchard",None
emnlp,https://aclanthology.org/D13-1025.pdf,Interactive Machine Translation using Hierarchical Translation Models,"Jesús González-Rubio,Daniel Ortiz-Martínez,José-Miguel Benedí,Francisco Casacuberta",None
emnlp,https://aclanthology.org/D13-1026.pdf,Max-Margin Synchronous Grammar Induction for Machine Translation,"Xinyan Xiao,Deyi Xiong",None
