conference,url,title,authors,abstract,citations
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5979974,Levitation control of experimental wing-in-ground effect vehicle along Z axis and about roll and pitch axes,"Yusuke Sugahara,Yusuke Ikeuchi,Ryo Suzuki,Yasuhisa Hirata,,,,,","The goal of this study is to develop a control method for levitation stabilization of an aerodynamic levitated train named the ""Aero-Train,"" which is a high-speed, high efficiency train system. The levitation in this system occurs because of the wing-in-ground effect that acts on a U-shaped guideway. In order to achieve the goal of this study, a small experimental prototype and a control method for stabilization along the Z axis and about the roll and pitch axes were developed, as described in this paper. The effectiveness of the developed control method is confirmed by experimental results.",9
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5980053,Port-based modeling and control of underactuated aerial vehicles,"Abeje Y. Mersha,Raffaella Carloni,Stefano Stramigioli,","In this paper, we propose a generic model and a controller design for a class of underactuated aerial vehicles, namely for unmanned aerial vehicles whose primary support against gravity is thrust. The approach followed is based on energetic consideration and uses the formalisms of port-Hamiltonian systems and bond graphs. The controller is designed for both stabilization during hovering and for trajectory tracking tasks. The competency of the model and the performance of the controller are validated in simulation.",22
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5980357,Autonomous multi-floor indoor navigation with a computationally constrained MAV,"Shaojie Shen,Nathan Michael,Vijay Kumar,","In this paper, we consider the problem of autonomous navigation with a micro aerial vehicle (MAV) in indoor environments. In particular, we are interested in autonomous navigation in buildings with multiple floors. To ensure that the robot is fully autonomous, we require all computation to occur on the robot without need for external infrastructure, communication, or human interaction beyond high-level commands. Therefore, we pursue a system design and methodology that enables autonomous navigation with real time performance on a mobile processor using only onboard sensors. Specifically, we address multi-floor mapping with loop closure, localization, planning, and autonomous control, including adaptation to aerodynamic effects during traversal through spaces with low vertical clearance or strong external disturbances. We present experimental results with ground truth comparisons and performance analysis.",506
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5980439,Towards the development of gyroscopically controlled micro air vehicles,"Chris E. Thorne,Mark Yim,","Micro air vehicles have emerged as a popular option for diverse robotic and teleoperated applications because of their inherent stealth, portability, and disposability. In this work, we adopt a system-level perspective for the development of a rotary-wing micro air vehicle and propose a new design that utilizes gyroscopic dynamics for attitude control. Unlike traditional vehicles where attitude control moments are generated by aerodynamic control surfaces, the proposed vehicle will leverage the existing angular momentum of its rotating components to generate gyroscopic moments for controlling attitude. The capacity to rapidly generate large gyroscopic control moments, coupled with the precision gained from eliminating the need for complex and restrictive aerodynamic models, improves both agility and adaptability. We present the design and analysis of a new flying machine including the dynamic model with simplified aerodynamics and a control scheme based on a model linearized around hover. Simulations show the responsiveness and stabilization of a simple linear controller for hover.",9
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5979895,Revising temporal logic specifications for motion planning,"Georgios E. Fainekos,","In this paper, we introduce the problem of automatic formula revision for Linear Temporal Logic (LTL) motion planning specifications. Namely, if a specification cannot be satisfied on a particular environment, our framework returns information to the user regarding (i) why the specification cannot be satisfied and (ii) how the specification can be modified so it can become satisfiable. This work contributes towards rendering temporal logic motion planning frameworks more user friendly by providing feedback to the user when the LTL planning phase fails.",71
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5980252,Modular open robots simulation engine: MORSE,"Gilberto Echeverria,Nicolas Lassabe,Arnaud Degroote,Séverin Lemaignan,","This paper presents MORSE, a new open-source robotics simulator. MORSE provides several features of interest to robotics projects: it relies on a component-based architecture to simulate sensors, actuators and robots; it is flexible, able to specify simulations at variable levels of abstraction according to the systems being tested; it is capable of representing a large variety of heterogeneous robots and full 3D environments (aerial, ground, maritime); and it is designed to allow simulations of multiple robots systems. MORSE uses a “Software-in-the-Loop” philosophy, i.e. it gives the possibility to evaluate the algorithms embedded in the software architecture of the robot within which they are to be integrated. Still, MORSE is independent of any robot architecture or communication framework (middleware). MORSE is built on top of Blender, using its powerful features and extending its functionality through Python scripts. Simulations are executed on Blender's Game Engine mode, which provides a realistic graphical display of the simulated environments and allows exploiting the reputed Bullet physics engine. This paper presents the conception principles of the simulator and some use-case illustrations.",276
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5980558,Mobile-R: A reconfigurable cooperative control platform for rapid deployment of multi-robot systems,"Stephen S. Nestinger,Harry. H. Cheng,","Cooperative multi-robot systems have been used in a vast array of fields and are of particular interest in perilous environments. One of the main issues in multi-robot systems is the lack of a common set of programming and control abstractions and middleware. Controlling and programming cooperative multi-robot systems is a highly complicated task that requires a flexible and agile control architecture and programming environment that are able to handle the distributed nature of multi-robot systems. A generalized, highly flexible and reconflgurable cooperative robot control platform called Mobile-R has been developed. Mobile-R consists of a mobile agent-based robot control system and a mission-based rapid deployment system. A real-world validation experiment involving cooperative multi-robot perimeter patrolling is presented.",15
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5980353,A game theoretic queueing approach to self-assessment in human-robot interaction systems,"Tinglong Dai,Katia Sycara,Michael Lewis,","This paper presents a queueing model that ad dresses robot self-assessment in human-robot-interaction systems. We build the model based on a game theoretic queueing approach, and analyze four issues: 1) individual differences in operator skills/capabilities, 2) differences in difficulty of presenting tasks, 3) trade-off between human interaction and performance and 4) the impact of task heterogeneity in the optimal service decision-making and system performance. The subsequent analytical and numerical exploration helps under stand the way the decentralized decision-making scheme is affected by various service environments.",17
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5980146,Online generation of kinodynamic trajectories for non-circular omnidirectional robots,"Christoph Sprunk,Boris Lau,Patrick Pfaffz,Wolfram Burgard,","This paper presents a novel approach to kino-dynamic trajectory generation for non-circular omnidirectional platforms that can be combined with existing path planners. We use quintic Bézier splines to specify position and orientation of the holonomic robot for every point in time. To fully exploit the capabilities of the holonomic robot we propose a novel path representation. It allows for continuous variation of path shapes in the spectrum between straight-line paths with turns on the spot and smooth paths with independent rotations and translations. Using this representation our method optimizes trajectories according to a user-defined cost function, considering the constraints of the platform. This way, it generates fast and efficient trajectories in an anytime fashion. The experiments carried out on an industrial robot show that our approach generates highly efficient and smooth motion trajectories that can be tracked with high precision and predictability. Furthermore, the system operates in real-world environments containing unmapped obstacles and narrow passages.",58
icra,https://ieeexplore.ieee.org/stamp/stamp.jsp?tp=&arnumber=5979742,Path planning in belief space with pose SLAM,"Rafael Valencia,Juan Andrade-Cetto,Josep M. Porta,","The probabilistic belief networks that result from standard feature-based simultaneous localization and map building cannot be directly used to plan trajectories. The reason is that they produce a sparse graph of landmark estimates and their probabilistic relations, which is of little value to find collision free paths for navigation. In contrast, we argue in this paper that Pose SLAM graphs can be directly used as belief roadmaps. We present a method that devises optimal navigation strategies by searching for the path in the pose graph with lowest accumulated robot pose uncertainty, independently of the map reference frame. The method shows improved navigation results when compared to shortest paths both over synthetic data and real datasets.",60
